year,state,state_code,county,candidate,party,candidate_votes,total_votes
2012,Arkansas,AR,Logan,Barack Obama,democrat,2009.0,7331
2012,Arkansas,AR,Logan,Mitt Romney,republican,5079.0,7331
2012,Arkansas,AR,Lonoke,Barack Obama,democrat,5625.0,24114
2012,Arkansas,AR,Lonoke,Mitt Romney,republican,17880.0,24114
2012,Arkansas,AR,Madison,Barack Obama,democrat,2099.0,6568
2012,Arkansas,AR,Madison,Mitt Romney,republican,4263.0,6568
2012,Arkansas,AR,Marion,Barack Obama,democrat,2037.0,7051
2012,Arkansas,AR,Marion,Mitt Romney,republican,4774.0,7051
2012,Arkansas,AR,Miller,Barack Obama,democrat,4518.0,15329
2012,Arkansas,AR,Miller,Mitt Romney,republican,10622.0,15329
2012,Arkansas,AR,Mississippi,Barack Obama,democrat,6467.0,13375
2012,Arkansas,AR,Mississippi,Mitt Romney,republican,6603.0,13375
2012,Arkansas,AR,Monroe,Barack Obama,democrat,1583.0,3230
2012,Arkansas,AR,Monroe,Mitt Romney,republican,1585.0,3230
2012,Arkansas,AR,Montgomery,Barack Obama,democrat,920.0,3404
2012,Arkansas,AR,Montgomery,Mitt Romney,republican,2369.0,3404
2012,Arkansas,AR,Nevada,Barack Obama,democrat,1314.0,3384
2012,Arkansas,AR,Nevada,Mitt Romney,republican,1996.0,3384
2012,Arkansas,AR,Newton,Barack Obama,democrat,993.0,3661
2012,Arkansas,AR,Newton,Mitt Romney,republican,2508.0,3661
2012,Arkansas,AR,Ouachita,Barack Obama,democrat,4633.0,10315
2012,Arkansas,AR,Ouachita,Mitt Romney,republican,5521.0,10315
2012,Arkansas,AR,Perry,Barack Obama,democrat,1187.0,3938
2012,Arkansas,AR,Perry,Mitt Romney,republican,2581.0,3938
2012,Arkansas,AR,Phillips,Barack Obama,democrat,5202.0,7930
2012,Arkansas,AR,Phillips,Mitt Romney,republican,2598.0,7930
2012,Arkansas,AR,Pike,Barack Obama,democrat,851.0,3788
2012,Arkansas,AR,Pike,Mitt Romney,republican,2847.0,3788
2012,Arkansas,AR,Poinsett,Barack Obama,democrat,2390.0,7560
2012,Arkansas,AR,Poinsett,Mitt Romney,republican,4974.0,7560
2012,Arkansas,AR,Polk,Barack Obama,democrat,1556.0,7726
2012,Arkansas,AR,Polk,Mitt Romney,republican,5955.0,7726
2012,Arkansas,AR,Pope,Barack Obama,democrat,5126.0,20439
2012,Arkansas,AR,Pope,Mitt Romney,republican,14763.0,20439
2012,Arkansas,AR,Prairie,Barack Obama,democrat,880.0,3141
2012,Arkansas,AR,Prairie,Mitt Romney,republican,2153.0,3141
2012,Arkansas,AR,Pulaski,Barack Obama,democrat,87248.0,159381
2012,Arkansas,AR,Pulaski,Mitt Romney,republican,68984.0,159381
2012,Arkansas,AR,Randolph,Barack Obama,democrat,2046.0,5956
2012,Arkansas,AR,Randolph,Mitt Romney,republican,3701.0,5956
2012,Arkansas,AR,St. Francis,Barack Obama,democrat,4910.0,8362
2012,Arkansas,AR,St. Francis,Mitt Romney,republican,3368.0,8362
2012,Arkansas,AR,Saline,Barack Obama,democrat,12869.0,47062
