Location,total_votes,2008_democrat_votes,2008_republican_votes
"Arkansas, Montgomery",3622,1092.0,2365.0
"Arkansas, Nevada",3635,1474.0,2062.0
"Arkansas, Newton",3960,1182.0,2588.0
"Arkansas, Ouachita",9960,4346.0,5427.0
"Arkansas, Perry",4279,1352.0,2743.0
"Arkansas, Phillips",8969,5695.0,3097.0
"Arkansas, Pike",3966,1089.0,2727.0
"Arkansas, Poinsett",7928,2742.0,4903.0
"Arkansas, Polk",7681,1957.0,5473.0
"Arkansas, Pope",22079,6002.0,15568.0
"Arkansas, Prairie",3381,1048.0,2223.0
"Arkansas, Pulaski",161343,88854.0,70212.0
"Arkansas, Randolph",6319,2469.0,3615.0
"Arkansas, St. Francis",9505,5486.0,3917.0
"Arkansas, Saline",44653,12695.0,30981.0
"Arkansas, Scott",3995,1053.0,2791.0
"Arkansas, Searcy",3847,961.0,2726.0
"Arkansas, Sebastian",43212,13673.0,28637.0
"Arkansas, Sevier",4580,1291.0,3125.0
"Arkansas, Sharp",7252,2436.0,4535.0
"Arkansas, Stone",5324,1598.0,3534.0
"Arkansas, Union",17179,6190.0,10677.0
"Arkansas, Van Buren",6703,2151.0,4276.0
"Arkansas, Washington",68380,29021.0,37963.0
"Arkansas, White",26955,6732.0,19467.0
"Arkansas, Woodruff",2761,1412.0,1206.0
"Arkansas, Yell",6036,2003.0,3808.0
"California, Alameda",621029,489106.0,119555.0
"California, Alpine",692,422.0,252.0
"California, Amador",18810,7813.0,10561.0
"California, Butte",98325,49013.0,46706.0
"California, Calaveras",23306,9813.0,12835.0
"California, Colusa",6429,2569.0,3733.0
"California, Contra Costa",451650,306983.0,136436.0
"California, Del Norte",9531,4323.0,4967.0
"California, El Dorado",92926,40529.0,50314.0
"California, Fresno",272289,136706.0,131015.0
"California, Glenn",9879,3734.0,5910.0
"California, Humboldt",63727,39692.0,21713.0
"California, Imperial",38820,24162.0,14008.0
"California, Inyo",8533,3743.0,4523.0
"California, Kern",232850,93457.0,134793.0
"California, Kings",35108,14747.0,19710.0
"California, Lake",25542,14854.0,9935.0
"California, Lassen",11387,3586.0,7483.0
"California, Los Angeles",3318248,2295853.0,956425.0
"California, Madera",42355,17952.0,23583.0
"California, Marin",140197,109320.0,28384.0
"California, Mariposa",9651,4100.0,5298.0
"California, Mendocino",40016,27843.0,10721.0
"California, Merced",63808,34031.0,28704.0
"California, Modoc",4420,1313.0,2981.0
"California, Mono",5571,3093.0,2354.0
"California, Monterey",129783,88453.0,38797.0
"California, Napa",59642,38849.0,19484.0
"California, Nevada",55647,28617.0,25663.0
"California, Orange",1153687,549558.0,579064.0
"California, Placer",173107,75112.0,94647.0
"California, Plumas",11028,4715.0,6035.0
"California, Riverside",647299,325017.0,310041.0
"California, Sacramento",541101,316506.0,213583.0
"California, San Benito",19705,11917.0,7425.0
"California, San Bernardino",606334,315720.0,277408.0
"California, San Diego",1231047,666581.0,541032.0
"California, San Francisco",382865,322220.0,52292.0
"California, San Joaquin",209349,113974.0,91607.0
"California, San Luis Obispo",132653,68176.0,61055.0
"California, San Mateo",303292,222826.0,75057.0
"California, Santa Barbara",174912,105614.0,65585.0
"California, Santa Clara",665589,462241.0,190039.0
"California, Santa Cruz",127483,98745.0,25244.0
"California, Shasta",80390,28867.0,49588.0
"California, Sierra",1991,743.0,1158.0
"California, Siskiyou",21470,9292.0,11520.0
"California, Solano",160973,102095.0,56035.0
"California, Sonoma",229351,168888.0,55127.0
"California, Stanislaus",161015,80279.0,77497.0
"California, Sutter",32941,13412.0,18911.0
"California, Tehama",24436,8945.0,14843.0
"California, Trinity",6374,3233.0,2940.0
"California, Tulare",105206,43634.0,59765.0
"California, Tuolumne",27181,11532.0,14988.0
"California, Ventura",339800,187601.0,145853.0
