Location,total_votes,2000_republican_votes,2000_democrat_votes
"Indiana, Jennings",9494,5732,3549
"Indiana, Johnson",42284,29404,11952
"Indiana, Knox",15054,8485,6300
"Indiana, Kosciusko",25284,19040,5785
"Indiana, LaGrange",8333,5437,2733
"Indiana, Lake",175994,63389,109078
"Indiana, LaPorte",39747,18994,19736
"Indiana, Lawrence",16142,10677,5071
"Indiana, Madison",52216,27956,23403
"Indiana, Marion",279903,137810,134189
"Indiana, Marshall",16150,10266,5541
"Indiana, Martin",4609,3008,1518
"Indiana, Miami",12928,8401,4155
"Indiana, Monroe",40220,19147,17523
"Indiana, Montgomery",13101,8891,3899
"Indiana, Morgan",22036,15286,6228
"Indiana, Newton",5510,3250,2101
"Indiana, Noble",14216,9103,4822
"Indiana, Ohio",2492,1515,951
"Indiana, Orange",7458,4687,2601
"Indiana, Owen",6503,4019,2253
"Indiana, Parke",6447,3841,2481
"Indiana, Perry",7387,3461,3823
"Indiana, Pike",6302,3566,2605
"Indiana, Porter",59378,31157,26790
"Indiana, Posey",11110,6498,4430
"Indiana, Pulaski",5518,3497,1919
"Indiana, Putnam",11871,7352,4123
"Indiana, Randolph",10132,6020,3906
"Indiana, Ripley",10675,6988,3498
"Indiana, Rush",7284,4749,2370
"Indiana, St. Joseph",97474,47581,47703
"Indiana, Scott",7846,3761,3915
"Indiana, Shelby",15310,9590,5374
"Indiana, Spencer",8987,5096,3752
"Indiana, Starke",8701,4349,4136
"Indiana, Steuben",11277,6953,4103
"Indiana, Sullivan",8262,4319,3833
"Indiana, Switzerland",3239,1831,1336
"Indiana, Tippecanoe",46295,26106,18220
"Indiana, Tipton",7316,4784,2392
"Indiana, Union",2828,1838,927
"Indiana, Vanderburgh",66221,35846,29222
"Indiana, Vermillion",6633,3130,3370
"Indiana, Vigo",36228,18021,17570
"Indiana, Wabash",12883,8321,4277
"Indiana, Warren",3768,2218,1471
"Indiana, Warrick",22309,13205,8749
"Indiana, Washington",9801,5868,3675
"Indiana, Wayne",25151,14273,10273
"Indiana, Wells",11281,7755,3319
"Indiana, White",9904,6037,3655
"Indiana, Whitley",12432,8080,4107
"Iowa, Adair",4123,2275,1753
"Iowa, Adams",2145,1170,897
"Iowa, Allamakee",6462,3277,2883
"Iowa, Appanoose",5704,2992,2560
"Iowa, Audubon",3784,1909,1780
"Iowa, Benton",11766,5468,5915
"Iowa, Black Hawk",55085,23468,30112
"Iowa, Boone",12249,5625,6270
"Iowa, Bremer",11175,5675,5169
"Iowa, Buchanan",9410,4092,5045
"Iowa, Buena Vista",7977,4354,3297
"Iowa, Butler",6724,3837,2735
"Iowa, Calhoun",5041,2776,2132
"Iowa, Carroll",9568,4879,4463
"Iowa, Cass",6880,4206,2481
"Iowa, Cedar",8344,4031,4033
"Iowa, Cerro Gordo",22162,9397,12185
"Iowa, Cherokee",6592,3463,2845
"Iowa, Chickasaw",6584,2936,3435
"Iowa, Clarke",4176,1984,2081
"Iowa, Clay",7578,3992,3294
"Iowa, Clayton",8571,4034,4238
"Iowa, Clinton",22180,9229,12276
"Iowa, Crawford",6555,3482,2838
"Iowa, Dallas",19330,10306,8561
"Iowa, Davis",3758,1956,1691
"Iowa, Decatur",3709,1903,1674
"Iowa, Delaware",8349,4273,3808
"Iowa, Des Moines",19365,7385,11351
"Iowa, Dickinson",8121,4225,3660
"Iowa, Dubuque",40323,16462,22341
"Iowa, Emmet",4630,2331,2165
"Iowa, Fayette",9621,4747,4640
"Iowa, Floyd",7238,3191,3830
"Iowa, Franklin",4938,2657,2122
"Iowa, Fremont",3616,2069,1459
"Iowa, Greene",4719,2282,2301
"Iowa, Grundy",6111,3851,2139
"Iowa, Guthrie",5469,2840,2493
"Iowa, Hamilton",7574,3968,3407
"Iowa, Hancock",5438,2988,2281
"Iowa, Hardin",8435,4486,3734
"Iowa, Harrison",6543,3802,2551
"Iowa, Henry",8671,4476,3907
"Iowa, Howard",4491,1922,2426
"Iowa, Humboldt",4940,2846,1949
"Iowa, Ida",3491,1968,1411
"Iowa, Iowa",7413,3894,3230
"Iowa, Jackson",9032,3769,4945
"Iowa, Jasper",17835,8729,8699
"Iowa, Jefferson",7548,3248,2863
"Iowa, Johnson",52769,17899,31174
"Iowa, Jones",9143,4201,4690
"Iowa, Keokuk",4947,2571,2181
"Iowa, Kossuth",8878,4612,3960
"Iowa, Lee",16572,6339,9632
"Iowa, Linn",92064,40417,48897
"Iowa, Louisa",4637,2207,2294
"Iowa, Lucas",4303,2262,1934
"Iowa, Lyon",5342,3918,1313
"Iowa, Madison",6969,3662,3093
"Iowa, Mahaska",9543,5971,3370
"Iowa, Marion",14408,8358,5741
"Iowa, Marshall",17624,8785,8322
"Iowa, Mills",5915,3684,2039
"Iowa, Mitchell",5162,2388,2650
"Iowa, Monona",4560,2304,2086
"Iowa, Monroe",3647,1858,1699
"Iowa, Montgomery",5394,3417,1838
"Iowa, Muscatine",16076,7483,8058
"Iowa, O'Brien",7044,4674,2170
"Iowa, Osceola",3063,2064,913
"Iowa, Page",7059,4588,2293
"Iowa, Palo Alto",4823,2341,2326
"Iowa, Plymouth",10118,6189,3499
"Iowa, Pocahontas",4141,2242,1736
"Iowa, Polk",174167,79927,89715
"Iowa, Pottawattamie",34467,18783,14726
"Iowa, Poweshiek",8980,4396,4222
"Iowa, Ringgold",2692,1369,1246
"Iowa, Sac",5033,2776,2099
"Iowa, Scott",70568,32801,35857
"Iowa, Shelby",6009,3655,2179
"Iowa, Sioux",14692,12241,2148
"Iowa, Story",35364,16228,17478
"Iowa, Tama",8315,4034,4045
"Iowa, Taylor",3096,1770,1247
"Iowa, Union",5740,3003,2540
"Iowa, Van Buren",3561,2016,1440
"Iowa, Wapello",15139,6313,8355
"Iowa, Warren",19653,9621,9521
"Iowa, Washington",9094,4827,3932
"Iowa, Wayne",3021,1666,1300
"Iowa, Webster",17048,8172,8479
"Iowa, Winnebago",5527,2662,2691
"Iowa, Winneshiek",9417,4647,4339
"Iowa, Woodbury",37896,18864,17691
"Iowa, Worth",4004,1659,2208
"Iowa, Wright",6336,3384,2796
"Kansas, Allen",5766,3379,2132
"Kansas, Anderson",3478,1984,1327
"Kansas, Atchison",6900,3378,3171
"Kansas, Barber",2498,1755,637
"Kansas, Barton",10955,7302,3238
"Kansas, Bourbon",6308,3852,2211
"Kansas, Brown",4691,2985,1512
"Kansas, Butler",21002,13377,6755
"Kansas, Chase",1317,848,391
"Kansas, Chautauqua",1880,1347,443
"Kansas, Cherokee",9130,5014,3783
"Kansas, Cheyenne",1727,1312,350
"Kansas, Clark",1261,926,292
"Kansas, Clay",4088,2998,951
"Kansas, Cloud",4503,2918,1314
"Kansas, Coffey",4040,2700,1196
"Kansas, Comanche",1006,760,211
"Kansas, Cowley",14210,8080,5535
"Kansas, Crawford",15034,7160,7076
"Kansas, Decatur",1759,1255,424
"Kansas, Dickinson",8092,5243,2413
"Kansas, Doniphan",3649,2350,1134
"Kansas, Douglas",39838,17062,18249
"Kansas, Edwards",1563,1062,447
"Kansas, Elk",1550,1080,402
"Kansas, Ellis",11160,6516,3926
"Kansas, Ellsworth",2839,1845,825
"Kansas, Finney",9150,6442,2431
"Kansas, Ford",8917,6050,2566
"Kansas, Franklin",9658,5925,3321
"Kansas, Geary",6866,3977,2660
"Kansas, Gove",1495,1122,296
"Kansas, Graham",1474,1058,346
"Kansas, Grant",2856,2126,683
"Kansas, Gray",2160,1631,482
"Kansas, Greeley",803,628,143
"Kansas, Greenwood",3561,2392,1027
"Kansas, Hamilton",1192,901,264
"Kansas, Harper",3055,2076,869
"Kansas, Harvey",13684,8271,4591
"Kansas, Haskell",1616,1323,263
"Kansas, Hodgeman",1088,835,217
"Kansas, Jackson",5250,3001,1990
"Kansas, Jefferson",7877,4423,3000
"Kansas, Jewell",1877,1400,380
"Kansas, Johnson",217536,129965,79118
"Kansas, Kearny",1435,1084,320
"Kansas, Kingman",3808,2672,991
"Kansas, Kiowa",1608,1262,294
"Kansas, Labette",8538,4475,3745
"Kansas, Lane",1133,846,252
"Kansas, Leavenworth",23271,12583,9733
"Kansas, Lincoln",1890,1295,469
"Kansas, Linn",4259,2513,1587
"Kansas, Logan",1397,1088,231
"Kansas, Lyon",12455,6652,5190
"Kansas, McPherson",12461,8501,3272
"Kansas, Marion",5903,4156,1475
"Kansas, Marshall",5115,3066,1831
"Kansas, Meade",2053,1604,400
"Kansas, Miami",11607,6611,4554
"Kansas, Mitchell",3266,2350,751
"Kansas, Montgomery",13745,8496,4770
"Kansas, Morris",2641,1599,882
"Kansas, Morton",1557,1203,321
"Kansas, Nemaha",5290,3578,1494
"Kansas, Neosho",6886,4014,2588
"Kansas, Ness",1876,1420,383
"Kansas, Norton",2451,1744,598
"Kansas, Osage",6613,3770,2530
"Kansas, Osborne",2030,1432,484
"Kansas, Ottawa",2791,1977,631
"Kansas, Pawnee",2940,1850,968
"Kansas, Phillips",2792,2057,611
"Kansas, Pottawatomie",7731,4985,2037
"Kansas, Pratt",4416,2885,1314
"Kansas, Rawlins",1740,1349,306
"Kansas, Reno",25430,15179,9025
"Kansas, Republic",2985,2239,604
"Kansas, Rice",4520,2903,1422
"Kansas, Riley",18253,10672,6188
"Kansas, Rooks",2775,2016,597
"Kansas, Rush",1854,1235,505
"Kansas, Russell",3482,2434,886
"Kansas, Saline",21527,12412,7487
"Kansas, Scott",2303,1811,418
"Kansas, Sedgwick",163417,93724,62561
"Kansas, Seward",5096,3869,1126
"Kansas, Shawnee",74373,35894,34818
"Kansas, Sheridan",1489,1132,281
"Kansas, Sherman",2682,1894,681
"Kansas, Smith",2184,1534,534
"Kansas, Stafford",2200,1546,567
"Kansas, Stanton",1029,785,215
"Kansas, Stevens",2111,1714,345
"Kansas, Sumner",10232,6176,3549
"Kansas, Thomas",3780,2822,807
"Kansas, Trego",1837,1220,516
"Kansas, Wabaunsee",3420,2182,1025
"Kansas, Wallace",861,737,103
"Kansas, Washington",3267,2446,687
"Kansas, Wichita",1090,859,207
"Kansas, Wilson",4095,2748,1186
"Kansas, Woodson",1595,974,521
"Kansas, Wyandotte",48272,14024,32411
"Kentucky, Adair",7328,5460,1779
"Kentucky, Allen",6429,4415,1950
"Kentucky, Anderson",7967,4909,2902
"Kentucky, Ballard",3770,1824,1880
"Kentucky, Barren",13844,8741,4930
"Kentucky, Bath",4473,2303,2087
"Kentucky, Bell",10611,5585,4787
"Kentucky, Boone",31984,22016,9248
"Kentucky, Bourbon",7102,3881,3048
"Kentucky, Boyd",19182,9247,9541
"Kentucky, Boyle",10326,6126,3963
"Kentucky, Bracken",3019,2065,888
"Kentucky, Breathitt",5073,2084,2902
"Kentucky, Breckinridge",7453,4763,2595
"Kentucky, Bullitt",22701,14054,8195
"Kentucky, Butler",5010,3654,1299
"Kentucky, Caldwell",5482,3161,2223
"Kentucky, Calloway",13673,7705,5635
"Kentucky, Campbell",33829,20789,12040
"Kentucky, Carlisle",2593,1405,1149
"Kentucky, Carroll",3499,1818,1601
"Kentucky, Carter",8959,4617,4182
"Kentucky, Casey",5469,4284,1122
"Kentucky, Christian",17773,10787,6778
"Kentucky, Clark",12473,7297,4918
"Kentucky, Clay",6719,4926,1723
"Kentucky, Clinton",4305,3224,1032
"Kentucky, Crittenden",4154,2469,1610
"Kentucky, Cumberland",3006,2220,736
"Kentucky, Daviess",36240,21361,14126
"Kentucky, Edmonson",4995,3250,1710
"Kentucky, Elliott",2381,827,1525
"Kentucky, Estill",4710,3033,1591
"Kentucky, Fayette",105477,54495,47277
"Kentucky, Fleming",5179,3282,1813
"Kentucky, Floyd",15394,5068,10088
"Kentucky, Franklin",21654,10209,10853
"Kentucky, Fulton",2788,1293,1452
"Kentucky, Gallatin",2459,1345,1049
"Kentucky, Garrard",5823,4043,1713
"Kentucky, Grant",7103,4405,2568
"Kentucky, Graves",14231,7849,6097
"Kentucky, Grayson",8558,5843,2604
"Kentucky, Green",4756,3615,1085
"Kentucky, Greenup",14663,7233,7164
"Kentucky, Hancock",3610,2032,1508
"Kentucky, Hardin",30690,18964,11095
"Kentucky, Harlan",10535,4980,5365
"Kentucky, Harrison",6611,3793,2658
"Kentucky, Hart",6019,3725,2201
"Kentucky, Henderson",16039,7698,8054
"Kentucky, Henry",5473,3244,2117
"Kentucky, Hickman",2124,1151,940
"Kentucky, Hopkins",16489,9490,6734
"Kentucky, Jackson",4855,4079,701
"Kentucky, Jefferson",302362,145052,149901
"Kentucky, Jessamine",15061,10074,4633
"Kentucky, Johnson",8180,4783,3251
"Kentucky, Kenton",56249,35363,19100
"Kentucky, Knott",6458,2029,4349
"Kentucky, Knox",9910,6058,3690
"Kentucky, Larue",5179,3384,1727
"Kentucky, Laurel",18120,13029,4856
"Kentucky, Lawrence",5307,2969,2258
"Kentucky, Lee",2764,1893,836
"Kentucky, Leslie",4434,3159,1210
"Kentucky, Letcher",8985,4092,4698
"Kentucky, Lewis",4568,3217,1293
"Kentucky, Lincoln",7597,4795,2678
"Kentucky, Livingston",4230,2118,2022
"Kentucky, Logan",9332,5344,3885
"Kentucky, Lyon",3420,1688,1680
"Kentucky, McCracken",26689,14745,11412
"Kentucky, McCreary",4799,3321,1418
"Kentucky, McLean",4022,2219,1747
"Kentucky, Madison",23666,13682,9309
"Kentucky, Magoffin",5453,2785,2603
"Kentucky, Marion",6176,3259,2778
"Kentucky, Marshall",13761,7294,6203
"Kentucky, Martin",4456,2667,1714
"Kentucky, Mason",5873,3572,2178
"Kentucky, Meade",9071,5319,3596
"Kentucky, Menifee",2249,1170,1038
"Kentucky, Mercer",8632,5362,3092
"Kentucky, Metcalfe",3849,2476,1318
"Kentucky, Monroe",5569,4377,1158
"Kentucky, Montgomery",8519,4534,3833
"Kentucky, Morgan",4240,2295,1875
"Kentucky, Muhlenberg",11956,5518,6295
"Kentucky, Nelson",13488,7714,5481
"Kentucky, Nicholas",2673,1613,994
"Kentucky, Ohio",8882,5413,3303
"Kentucky, Oldham",20268,13580,6236
"Kentucky, Owen",4070,2582,1394
"Kentucky, Owsley",1826,1466,339
"Kentucky, Pendleton",4803,3044,1670
"Kentucky, Perry",11000,5300,5514
"Kentucky, Pike",24935,11005,13611
"Kentucky, Powell",4362,2258,2008
"Kentucky, Pulaski",21541,15845,5415
"Kentucky, Robertson",998,630,341
"Kentucky, Rockcastle",5247,3992,1174
"Kentucky, Rowan",7226,3546,3505
"Kentucky, Russell",7074,5268,1710
"Kentucky, Scott",13786,7952,5472
"Kentucky, Shelby",12738,8068,4435
"Kentucky, Simpson",5824,3169,2583
"Kentucky, Spencer",4772,3150,1554
"Kentucky, Taylor",9051,6151,2790
"Kentucky, Todd",4187,2646,1496
"Kentucky, Trigg",5344,3130,2110
"Kentucky, Trimble",3081,1837,1181
"Kentucky, Union",5368,2749,2547
"Kentucky, Warren",32975,20235,12180
"Kentucky, Washington",4588,3044,1458
"Kentucky, Wayne",6474,4069,2312
"Kentucky, Webster",5072,2599,2388
"Kentucky, Whitley",11774,7502,4101
"Kentucky, Wolfe",2425,1267,1136
"Kentucky, Woodford",10137,5890,3995
"Louisiana, Acadia",23238,13814,8892
"Louisiana, Allen",8292,4035,3914
"Louisiana, Ascension",30844,16818,13385
"Louisiana, Assumption",10053,4388,5222
"Louisiana, Avoyelles",14653,7329,6701
"Louisiana, Beauregard",12205,7862,3958
"Louisiana, Bienville",7006,3269,3413
"Louisiana, Bossier",35915,23224,11933
"Louisiana, Caddo",95639,46807,47530
"Louisiana, Calcasieu",73636,38086,33919
"Louisiana, Caldwell",4328,2817,1359
"Louisiana, Cameron",4183,2593,1435
"Louisiana, Catahoula",4765,2912,1718
"Louisiana, Claiborne",6281,3384,2721
"Louisiana, Concordia",8499,4627,3569
"Louisiana, De Soto",10596,5260,5036
"Louisiana, East Baton Rouge",168989,89128,76516
"Louisiana, East Carroll",3245,1280,1876
"Louisiana, East Feliciana",8099,4051,3870
"Louisiana, Evangeline",13612,7290,5763
"Louisiana, Franklin",8356,5363,2792
"Louisiana, Grant",7055,4784,2099
"Louisiana, Iberia",30020,17236,11762
"Louisiana, Iberville",14503,5573,8355
"Louisiana, Jackson",7106,4347,2582
"Louisiana, Jefferson",179151,105003,70411
"Louisiana, Jefferson Davis",12546,6945,5162
"Louisiana, Lafayette",78293,48491,27190
"Louisiana, Lafourche",34449,18575,14627
"Louisiana, La Salle",6108,4564,1397
"Louisiana, Lincoln",16551,9246,6851
"Louisiana, Livingston",36865,24889,11008
"Louisiana, Madison",4743,2127,2489
"Louisiana, Morehouse",12321,6641,5289
"Louisiana, Natchitoches",14857,7332,6924
"Louisiana, Orleans",181221,39404,137630
"Louisiana, Ouachita",58211,35107,21457
"Louisiana, Plaquemines",10931,6302,4425
"Louisiana, Pointe Coupee",10832,4710,5813
"Louisiana, Rapides",49024,28831,18898
"Louisiana, Red River",4522,2200,2177
"Louisiana, Richland",8485,4895,3282
"Louisiana, Sabine",8862,5754,2846
"Louisiana, St. Bernard",28621,16255,11682
"Louisiana, St. Charles",21510,11981,8918
"Louisiana, St. Helena",5254,1965,3059
"Louisiana, St. James",10705,3813,6523
"Louisiana, St. John the Baptist",17713,7423,9745
"Louisiana, St. Landry",34151,15449,18067
"Louisiana, St. Martin",20778,9961,9853
"Louisiana, St. Mary",21810,11325,9851
"Louisiana, St. Tammany",83737,59193,22722
"Louisiana, Tangipahoa",37155,20421,15843
"Louisiana, Tensas",3010,1330,1580
"Louisiana, Terrebonne",36675,21314,14414
"Louisiana, Union",9343,5772,3205
"Louisiana, Vermilion",22235,12495,8704
"Louisiana, Vernon",13827,8794,4655
"Louisiana, Washington",16887,8983,7399
"Louisiana, Webster",17090,9420,7197
"Louisiana, West Baton Rouge",10169,4924,5058
"Louisiana, West Carroll",4675,3220,1319
"Louisiana, West Feliciana",4860,2512,2187
"Louisiana, Winn",6361,4028,2167
"Maine, Androscoggin",49245,19948,26251
"Maine, Aroostook",35143,16555,17196
"Maine, Cumberland",142620,58543,74203
"Maine, Franklin",15448,6459,7593
"Maine, Hancock",28574,12732,12983
"Maine, Kennebec",58907,23967,31198
"Maine, Knox",20501,8968,9453
"Maine, Lincoln",19671,9457,8634
"Maine, Oxford",27493,11835,13649
"Maine, Penobscot",73206,35620,32868
"Maine, Piscataquis",9256,4845,3745
"Maine, Sagadahoc",18406,8052,8844
"Maine, Somerset",23951,10684,11538
"Maine, Waldo",19138,8689,8477
"Maine, Washington",15708,7958,6701
"Maine, York",94550,42304,46618
"Maryland, Allegany",26371,14656,10894
"Maryland, Anne Arundel",200657,104209,89624
"Maryland, Baltimore",304084,133033,160635
"Maryland, Calvert",29806,16004,12986
"Maryland, Caroline",8952,5300,3396
"Maryland, Carroll",64027,41742,20146
"Maryland, Cecil",28876,15494,12327
"Maryland, Charles",44592,21768,21873
"Maryland, Dorchester",11392,5847,5232
"Maryland, Frederick",78661,45350,30725
"Maryland, Garrett",10655,7514,2872
"Maryland, Harford",91424,52862,35665
"Maryland, Howard",112779,49809,58556
"Maryland, Kent",8085,4155,3627
"Maryland, Montgomery",371688,124580,232453
"Maryland, Prince George's",271909,49987,216119
"Maryland, Queen Anne's",16761,9970,6257
"Maryland, St. Mary's",29501,16856,11912
"Maryland, Somerset",7604,3609,3785
"Maryland, Talbot",15234,8874,5854
"Maryland, Washington",47470,27948,18221
"Maryland, Wicomico",31795,16338,14469
"Maryland, Worcester",20753,10742,9389
"Maryland, Baltimore City",192404,27150,158765
"Massachusetts, Barnstable",121086,49686,62363
"Massachusetts, Berkshire",59411,15805,37934
"Massachusetts, Bristol",211337,62848,136325
"Massachusetts, Dukes",8856,2315,5474
"Massachusetts, Essex",310333,110010,178400
"Massachusetts, Franklin",33366,10176,17945
"Massachusetts, Hampden",172093,59558,100103
"Massachusetts, Hampshire",68626,19202,38543
"Massachusetts, Middlesex",657048,198914,404043
"Massachusetts, Nantucket",4926,1624,2874
"Massachusetts, Norfolk",317177,107033,188450
"Massachusetts, Plymouth",211577,82751,115376
"Massachusetts, Suffolk",217000,44441,154888
"Massachusetts, Worcester",310148,114139,173769
"Michigan, Alcona",5997,3152,2696
"Michigan, Alger",4366,2142,2071
"Michigan, Allegan",44891,28197,15495
"Michigan, Alpena",14132,6769,7053
"Michigan, Antrim",11507,6780,4329
"Michigan, Arenac",7267,3421,3685
"Michigan, Baraga",3393,1836,1400
"Michigan, Barry",26244,15716,9769
"Michigan, Bay",51636,22150,28251
"Michigan, Benzie",8072,4172,3546
"Michigan, Berrien",65241,35689,28152
"Michigan, Branch",15783,8743,6691
"Michigan, Calhoun",55080,26291,27312
"Michigan, Cass",19825,10545,8808
"Michigan, Charlevoix",12487,7018,4958
"Michigan, Cheboygan",12617,6815,5484
"Michigan, Chippewa",14354,7526,6370
"Michigan, Clare",12607,5937,6287
"Michigan, Clinton",32199,18054,13394
"Michigan, Crawford",6364,3345,2790
"Michigan, Delta",17316,8871,7970
"Michigan, Dickinson",12832,6932,5533
"Michigan, Eaton",49272,24803,23211
"Michigan, Emmet",14711,8602,5451
"Michigan, Genesee",190865,66641,119833
"Michigan, Gladwin",11629,5743,5573
"Michigan, Gogebic",8339,3929,4066
"Michigan, Grand Traverse",38229,22358,14371
"Michigan, Gratiot",15179,8312,6538
"Michigan, Hillsdale",17473,10483,6495
"Michigan, Houghton",14216,7895,5688
"Michigan, Huron",16095,8911,6899
"Michigan, Ingham",120595,47314,69231
"Michigan, Ionia",23970,13915,9481
"Michigan, Iosco",13222,6345,6505
"Michigan, Iron",6188,2967,3014
"Michigan, Isabella",21069,10053,10228
"Michigan, Jackson",61946,32066,28160
"Michigan, Kalamazoo",100656,48254,48807
"Michigan, Kalkaska",6849,3842,2774
"Michigan, Kent",250318,148602,95442
"Michigan, Keweenaw",1343,740,540
"Michigan, Lake",4693,1961,2584
"Michigan, Lapeer",37234,20351,15749
"Michigan, Leelanau",12009,6840,4635
"Michigan, Lenawee",40093,20681,18365
"Michigan, Livingston",75475,44637,28780
"Michigan, Luce",2536,1480,956
"Michigan, Mackinac",5970,3272,2533
"Michigan, Macomb",345559,164265,172625
"Michigan, Manistee",11428,5401,5639
"Michigan, Marquette",29179,12577,15503
"Michigan, Mason",13016,7066,5579
"Michigan, Mecosta",14754,8072,6300
"Michigan, Menominee",10434,5529,4597
"Michigan, Midland",38888,21887,15959
"Michigan, Missaukee",6496,4274,2062
"Michigan, Monroe",61795,28940,31555
"Michigan, Montcalm",22904,12696,9627
"Michigan, Montmorency",5009,2750,2139
"Michigan, Muskegon",69270,30028,37865
"Michigan, Newaygo",19557,11399,7677
"Michigan, Oakland",570265,274319,281201
"Michigan, Oceana",10772,5913,4597
"Michigan, Ogemaw",9855,4706,4896
"Michigan, Ontonagon",4151,2472,1514
"Michigan, Osceola",9930,5680,4006
"Michigan, Oscoda",3992,2207,1677
"Michigan, Otsego",10505,6108,4034
"Michigan, Ottawa",110599,78703,29600
"Michigan, Presque Isle",7080,3660,3242
"Michigan, Roscommon",12928,6190,6433
"Michigan, Saginaw",93756,41152,50825
"Michigan, St. Clair",68516,33571,33002
"Michigan, St. Joseph",22024,12906,8574
"Michigan, Sanilac",18566,10966,7153
"Michigan, Schoolcraft",4198,2088,2036
"Michigan, Shiawassee",32218,15816,15520
"Michigan, Tuscola",24652,13213,10845
"Michigan, Van Buren",29482,14792,13796
"Michigan, Washtenaw",144940,52459,86647
"Michigan, Wayne",768627,223021,530414
"Michigan, Wexford",12982,7215,5326
"Minnesota, Aitkin",8260,3755,3830
"Minnesota, Anoka",145619,69256,68008
"Minnesota, Becker",14333,8152,5253
"Minnesota, Beltrami",17217,8346,7301
"Minnesota, Benton",14908,7663,6009
"Minnesota, Big Stone",2980,1370,1430
"Minnesota, Blue Earth",27402,12942,12329
"Minnesota, Brown",12834,7370,4650
"Minnesota, Carlton",15081,5578,8620
"Minnesota, Carver",35021,20790,12462
"Minnesota, Cass",13593,7134,5534
"Minnesota, Chippewa",6352,2977,2952
"Minnesota, Chisago",21987,10937,9593
"Minnesota, Clay",23358,11712,10128
"Minnesota, Clearwater",3824,2137,1466
"Minnesota, Cook",2820,1295,1171
"Minnesota, Cottonwood",6181,3369,2503
"Minnesota, Crow Wing",28128,15035,11255
"Minnesota, Dakota",182249,87250,85446
"Minnesota, Dodge",8050,4213,3370
"Minnesota, Douglas",17205,9811,6352
"Minnesota, Faribault",8424,4336,3624
"Minnesota, Fillmore",10223,4646,5020
"Minnesota, Freeborn",16139,6843,8514
"Minnesota, Goodhue",22257,10852,9981
"Minnesota, Grant",3624,1804,1507
"Minnesota, Hennepin",573846,225657,307599
"Minnesota, Houston",10167,5077,4502
"Minnesota, Hubbard",9613,5307,3632
"Minnesota, Isanti",14929,7668,6247
"Minnesota, Itasca",21714,9545,10583
"Minnesota, Jackson",5438,2773,2364
"Minnesota, Kanabec",6811,3480,2831
"Minnesota, Kandiyohi",19285,10026,8220
"Minnesota, Kittson",2637,1353,1107
"Minnesota, Koochiching",6879,3523,2903
"Minnesota, Lac Qui Parle",4453,1941,2244
"Minnesota, Lake",6563,2465,3579
"Minnesota, Lake of the Woods",2187,1216,848
"Minnesota, Le Sueur",12331,6138,5361
"Minnesota, Lincoln",3284,1513,1590
"Minnesota, Lyon",11489,6087,4737
"Minnesota, McLeod",15394,8782,5609
"Minnesota, Mahnomen",2224,1122,921
"Minnesota, Marshall",5199,2912,1910
"Minnesota, Martin",10371,5686,4166
"Minnesota, Meeker",10672,5520,4402
"Minnesota, Mille Lacs",10253,5223,4376
"Minnesota, Morrison",14677,8197,5274
"Minnesota, Mower",18480,6873,10693
"Minnesota, Murray",4753,2407,2093
"Minnesota, Nicollet",15327,7221,7041
"Minnesota, Nobles",8872,4766,3760
"Minnesota, Norman",3641,1808,1575
"Minnesota, Olmsted",59392,30641,25822
"Minnesota, Otter Tail",28511,16963,9844
"Minnesota, Pennington",6320,3380,2458
"Minnesota, Pine",13068,5854,6148
"Minnesota, Pipestone",4894,2693,1970
"Minnesota, Polk",14140,7609,5764
"Minnesota, Pope",5987,2808,2771
"Minnesota, Ramsey",244278,87669,138470
"Minnesota, Red Lake",2090,1090,830
"Minnesota, Redwood",7748,4589,2681
"Minnesota, Renville",8122,4036,3533
"Minnesota, Rice",26021,10876,13140
"Minnesota, Rock",5010,2772,2081
"Minnesota, Roseau",7166,4695,2128
"Minnesota, Saint Louis",107464,35420,64237
"Minnesota, Scott",43793,23954,17503
"Minnesota, Sherburne",30835,16813,12109
"Minnesota, Sibley",7335,4087,2687
"Minnesota, Stearns",62476,32402,24800
"Minnesota, Steele",16066,8223,6900
"Minnesota, Stevens",5752,2831,2434
"Minnesota, Swift",5437,2376,2698
"Minnesota, Todd",11092,6031,4132
"Minnesota, Traverse",2106,1074,884
"Minnesota, Wabasha",10531,5245,4522
"Minnesota, Wadena",6382,3733,2251
"Minnesota, Waseca",8864,4608,3694
"Minnesota, Washington",107009,51502,49637
"Minnesota, Watonwan",5134,2562,2258
"Minnesota, Wilkin",3305,2032,1046
"Minnesota, Winona",23918,10773,11069
"Minnesota, Wright",43366,23861,16762
"Minnesota, Yellow Medicine",5515,2598,2528
"Mississippi, Adams",14879,6691,8065
"Mississippi, Alcorn",12638,7254,5059
"Mississippi, Amite",6408,3677,2673
"Mississippi, Attala",7173,4206,2922
"Mississippi, Benton",3481,1561,1886
"Mississippi, Bolivar",13538,4847,8436
"Mississippi, Calhoun",5758,3448,2251
"Mississippi, Carroll",4924,3165,1726
"Mississippi, Chickasaw",7175,3549,3519
"Mississippi, Choctaw",3719,2398,1278
"Mississippi, Claiborne",4615,883,3670
"Mississippi, Clarke",6919,4503,2368
"Mississippi, Clay",8165,3570,4515
"Mississippi, Coahoma",9553,3695,5662
"Mississippi, Copiah",10587,5643,4845
"Mississippi, Covington",6881,4180,2623
