Location,Total_Votes_2004,2004_republican_votes,2004_democrat_votes
"Alabama, Autauga",20081,15196,4758
"Alabama, Baldwin",69320,52971,15599
"Alabama, Barbour",10777,5899,4832
"Alabama, Bibb",7600,5472,2089
"Alabama, Blount",21504,17386,3938
"Alabama, Bullock",4717,1494,3210
"Alabama, Butler",8416,4979,3413
"Alabama, Calhoun",45249,29814,15083
"Alabama, Chambers",13032,7622,5347
"Alabama, Cherokee",9049,5923,3040
"Alabama, Chilton",16693,12829,3778
"Alabama, Choctaw",7227,3897,3303
"Alabama, Clarke",11394,6730,4627
"Alabama, Clay",6576,4624,1893
"Alabama, Cleburne",5798,4370,1391
"Alabama, Coffee",17616,13019,4480
"Alabama, Colbert",23935,13188,10598
"Alabama, Conecuh",6021,3271,2719
"Alabama, Coosa",5001,2905,2055
"Alabama, Covington",14627,11119,3423
"Alabama, Crenshaw",5500,3777,1698
"Alabama, Cullman",35191,26818,8045
"Alabama, Dale",18231,13621,4484
"Alabama, Dallas",18573,7335,11175
"Alabama, DeKalb",24135,16904,7092
"Alabama, Elmore",28680,22056,6471
"Alabama, Escambia",12395,8513,3814
"Alabama, Etowah",42680,26999,15328
"Alabama, Fayette",8002,5534,2408
"Alabama, Franklin",12269,7690,4514
"Alabama, Geneva",10520,8342,2113
"Alabama, Greene",4748,958,3764
"Alabama, Hale",7945,3281,4631
"Alabama, Henry",7361,4881,2452
"Alabama, Houston",36201,26874,9144
"Alabama, Jackson",20321,11534,8635
"Alabama, Jefferson",292967,158680,132286
"Alabama, Lamar",6885,4894,1956
"Alabama, Lauderdale",37107,22161,14628
"Alabama, Lawrence",14001,7730,6155
"Alabama, Lee",44610,27972,16227
"Alabama, Limestone",29073,19702,9126
"Alabama, Lowndes",6021,1786,4233
"Alabama, Macon",9407,1570,7800
"Alabama, Madison",131062,77173,52644
"Alabama, Marengo",10322,5255,5037
"Alabama, Marion",12875,8983,3808
"Alabama, Marshall",31491,22783,8452
"Alabama, Mobile",156771,92014,63732
"Alabama, Monroe",9534,5831,3666
"Alabama, Montgomery",89650,44097,45160
"Alabama, Morgan",47007,32477,14131
"Alabama, Perry",5523,1738,3767
"Alabama, Pickens",9132,5170,3915
"Alabama, Pike",11883,7483,4334
"Alabama, Randolph",9001,6127,2817
"Alabama, Russell",16809,8337,8375
"Alabama, Shelby",78906,63435,14850
"Alabama, St. Clair",29161,23500,5456
"Alabama, Sumter",6433,1880,4527
"Alabama, Talladega",29898,18331,11374
"Alabama, Tallapoosa",17952,12392,5451
"Alabama, Tuscaloosa",69830,42877,26447
"Alabama, Walker",28367,19167,9016
"Alabama, Washington",8247,5060,3145
"Alabama, Wilcox",5682,1834,3838
"Alabama, Winston",10423,8130,2236
"Arizona, Apache",24198,8384,15658
"Arizona, Cochise",44483,26556,17514
"Arizona, Coconino",52267,22526,29243
"Arizona, Gila",20843,12343,8314
"Arizona, Graham",10720,7467,3185
"Arizona, Greenlee",3067,1899,1146
"Arizona, La Paz",5055,3158,1849
"Arizona, Maricopa",1192751,679455,504849
"Arizona, Mohave",57807,36794,20503
"Arizona, Navajo",32343,17277,14815
"Arizona, Pima",366907,171109,193128
"Arizona, Pinal",64622,37006,27252
"Arizona, Santa Cruz",11668,4668,6909
"Arizona, Yavapai",87389,53468,33127
"Arizona, Yuma",38465,22184,16032
"Arkansas, Arkansas",6946,3789,3110
"Arkansas, Ashley",8512,4567,3881
"Arkansas, Baxter",18530,11128,7129
"Arkansas, Benton",68121,46571,20756
"Arkansas, Boone",14777,9793,4640
"Arkansas, Bradley",4249,2011,2206
"Arkansas, Calhoun",2303,1341,942
"Arkansas, Carroll",10481,6184,4161
"Arkansas, Chicot",4757,1725,2993
"Arkansas, Clark",9189,4127,4985
"Arkansas, Clay",6096,2759,3264
"Arkansas, Cleburne",11835,7001,4702
"Arkansas, Cleveland",3496,2009,1450
"Arkansas, Columbia",9909,5729,4108
"Arkansas, Conway",8649,4293,4259
"Arkansas, Craighead",29801,15818,13665
"Arkansas, Crawford",20401,13391,6764
"Arkansas, Crittenden",15300,6930,8277
"Arkansas, Cross",7074,3864,3135
"Arkansas, Dallas",3383,1699,1667
"Arkansas, Desha",4647,1729,2851
"Arkansas, Drew",6249,3262,2952
"Arkansas, Faulkner",36686,21514,14538
"Arkansas, Franklin",7289,4181,3008
"Arkansas, Fulton",4955,2522,2370
"Arkansas, Garland",40154,21734,18040
"Arkansas, Grant",6770,4205,2524
"Arkansas, Greene",13947,7232,6561
"Arkansas, Hempstead",7452,3580,3817
"Arkansas, Hot Spring",12068,5962,5903
"Arkansas, Howard",4943,2736,2166
"Arkansas, Independence",13011,7430,5443
"Arkansas, Izard",5493,2833,2586
"Arkansas, Jackson",6219,2624,3515
"Arkansas, Jefferson",30493,10218,19675
"Arkansas, Johnson",8044,4311,3622
"Arkansas, Lafayette",3191,1604,1567
"Arkansas, Lawrence",6615,2951,3544
"Arkansas, Lee",4080,1492,2548
"Arkansas, Lincoln",4109,1921,2149
"Arkansas, Little River",5294,2575,2677
"Arkansas, Logan",8551,5076,3361
"Arkansas, Lonoke",22030,14398,7454
"Arkansas, Madison",6384,3873,2421
"Arkansas, Marion",6867,4127,2602
"Arkansas, Miller",14678,8448,6139
"Arkansas, Mississippi",14153,6121,7593
"Arkansas, Monroe",3667,1586,2049
"Arkansas, Montgomery",3958,2367,1524
"Arkansas, Nevada",3477,1752,1694
"Arkansas, Newton",4378,2779,1506
"Arkansas, Ouachita",10650,5345,5188
"Arkansas, Perry",4431,2435,1921
"Arkansas, Phillips",8868,3161,5642
"Arkansas, Pike",3367,2013,1310
"Arkansas, Poinsett",7723,3555,4069
"Arkansas, Polk",7799,5192,2473
"Arkansas, Pope",20902,13614,7100
"Arkansas, Prairie",3624,2030,1562
"Arkansas, Pulaski",151758,67617,82755
"Arkansas, Randolph",6667,3158,3412
"Arkansas, Saline",39376,24864,14153
"Arkansas, Scott",4038,2514,1473
"Arkansas, Searcy",3992,2565,1370
"Arkansas, Sebastian",44211,27303,16479
"Arkansas, Sevier",4601,2516,2035
"Arkansas, Sharp",7470,4097,3265
"Arkansas, St. Francis",9588,3815,5684
"Arkansas, Stone",5549,3188,2255
"Arkansas, Union",17832,10502,7071
"Arkansas, Van Buren",7374,3988,3310
"Arkansas, Washington",64103,35726,27597
"Arkansas, White",26425,17001,9129
"Arkansas, Woodruff",3026,1021,1972
"Arkansas, Yell",6659,3678,2913
"California, Alameda",560742,130911,422585
"California, Alpine",699,311,373
"California, Amador",16879,10479,6211
"California, Butte",95735,51662,42448
"California, Calaveras",22306,13601,8286
"California, Colusa",6166,4142,1947
"California, Contra Costa",412139,150608,257254
"California, Del Norte",9421,5356,3892
"California, El Dorado",86278,52878,32242
"California, Fresno",247160,141988,103154
"California, Glenn",9435,6308,2995
"California, Humboldt",65510,25714,37988
"California, Imperial",25902,11628,13955
"California, Inyo",7718,4559,3021
"California, Kern",210858,140417,68603
"California, Kings",32093,21003,10833
"California, Lake",18166,8185,9679
"California, Lassen",11437,8126,3158
"California, Los Angeles",3021647,1076225,1907736
"California, Madera",38780,24871,13481
"California, Marin",134919,34378,99070
"California, Mariposa",8638,5215,3251
"California, Mendocino",38179,12955,24385
"California, Merced",57945,32773,24491
"California, Modoc",4456,3235,1149
"California, Mono",5330,2621,2628
"California, Monterey",124544,47838,75241
"California, Napa",56465,22059,33666
"California, Nevada",53739,28790,24220
"California, Orange",1073296,641832,419239
"California, Placer",152945,95969,55573
"California, Plumas",11178,6905,4129
"California, Riverside",556882,322473,228806
"California, Sacramento",476765,235539,236657
"California, San Benito",18725,8698,9851
"California, San Bernardino",522777,289306,227789
"California, San Diego",1133584,596033,526437
"California, San Francisco",355929,54355,296772
"California, San Joaquin",189505,100978,87012
"California, San Luis Obispo",128647,67995,58742
"California, San Mateo",284077,83315,197922
"California, Santa Barbara",169125,76806,90314
"California, Santa Clara",602614,209094,386100
"California, Santa Cruz",121733,30354,89102
"California, Shasta",77571,52249,24339
"California, Sierra",1945,1249,646
"California, Siskiyou",20863,12673,7880
"California, Solano",148746,62301,85096
"California, Sonoma",220077,68204,148261
"California, Stanislaus",145514,85407,58829
"California, Sutter",30145,20254,9602
"California, Tehama",23405,15572,7504
"California, Trinity",6479,3560,2782
"California, Tulare",98739,65399,32494
"California, Tuolumne",26188,15745,10104
"California, Ventura",312909,160314,148859
"California, Yolo",72009,28005,42885
"California, Yuba",18020,12076,5687
"Colorado, Adams",136672,65912,69122
"Colorado, Alamosa",6269,3179,3017
"Colorado, Arapahoe",232171,119475,110262
"Colorado, Archuleta",5839,3601,2141
"Colorado, Baca",2186,1680,483
"Colorado, Bent",2155,1338,785
"Colorado, Boulder",159257,51586,105564
"Colorado, Broomfield",23235,12007,10935
"Colorado, Chaffee",8769,4875,3766
"Colorado, Cheyenne",1134,923,198
"Colorado, Clear Creek",5613,2522,2989
"Colorado, Conejos",3800,1864,1894
"Colorado, Costilla",1759,566,1170
"Colorado, Crowley",1493,1006,478
"Colorado, Custer",2428,1657,739
"Colorado, Delta",14159,9722,4224
"Colorado, Denver",238672,69903,166135
"Colorado, Dolores",1146,785,333
"Colorado, Douglas",121200,80651,39661
"Colorado, Eagle",18511,8533,9744
"Colorado, El Paso",241786,161361,77648
"Colorado, Elbert",11361,8389,2834
"Colorado, Fremont",18523,12313,5933
"Colorado, Garfield",20647,11123,9228
"Colorado, Gilpin",3196,1329,1807
"Colorado, Grand",7609,4260,3243
"Colorado, Gunnison",8420,3479,4782
"Colorado, Hinsdale",602,355,236
"Colorado, Huerfano",3402,1700,1663
"Colorado, Jackson",934,710,210
"Colorado, Jefferson",271293,140644,126558
"Colorado, Kiowa",892,712,172
"Colorado, Kit Carson",3502,2721,729
"Colorado, La Plata",25490,11704,13409
"Colorado, Lake",2949,1261,1623
"Colorado, Larimer",146435,75884,68266
"Colorado, Las Animas",6587,3196,3300
"Colorado, Lincoln",2337,1819,503
"Colorado, Logan",8766,6168,2491
"Colorado, Mesa",61885,41539,19564
"Colorado, Mineral",619,383,227
"Colorado, Moffat",5725,4247,1355
"Colorado, Montezuma",11015,6988,3867
"Colorado, Montrose",16219,11218,4776
"Colorado, Morgan",9936,6787,3039
"Colorado, Otero",8180,4947,3164
"Colorado, Ouray",2719,1402,1278
"Colorado, Park",8355,4781,3445
"Colorado, Phillips",2325,1717,582
"Colorado, Pitkin",9255,2784,6335
"Colorado, Prowers",4745,3392,1308
"Colorado, Pueblo",67182,31117,35369
"Colorado, Rio Blanco",3003,2403,566
"Colorado, Rio Grande",5523,3448,2006
"Colorado, Routt",11761,5199,6392
"Colorado, Saguache",2803,1163,1594
"Colorado, San Juan",486,216,253
"Colorado, San Miguel",4019,1079,2876
"Colorado, Sedgwick",1360,971,374
"Colorado, Summit",13735,5370,8144
