Location,Total_Votes_2004,2004_republican_votes,2004_democrat_votes
"Colorado, Teller",11840,8094,3556
"Colorado, Washington",2530,2050,455
"Colorado, Weld",88652,55591,31868
"Colorado, Yuma",4559,3456,1064
"Connecticut, Fairfield",400967,189605,205902
"Connecticut, Hartford",391808,154919,229902
"Connecticut, Litchfield",96668,50160,44647
"Connecticut, Middlesex",83984,35252,47292
"Connecticut, New Haven",366392,160390,199060
"Connecticut, New London",118360,49931,66062
"Connecticut, Tolland",71729,31245,39146
"Connecticut, Windham",48861,22324,25477
"Delaware, Kent",55977,31578,23872
"Delaware, New Castle",241444,93070,146171
"Delaware, Sussex",77749,47003,30098
"District of Columbia, District of Columbia",227586,21256,202970
"Florida, Alachua",111328,47762,62504
"Florida, Baker",9955,7738,2180
"Florida, Bay",75024,53404,21068
"Florida, Bradford",10855,7557,3244
"Florida, Brevard",265462,153068,110309
"Florida, Broward",706872,244674,453873
"Florida, Calhoun",5963,3782,2116
"Florida, Charlotte",79786,44428,34256
"Florida, Citrus",69467,39500,29277
"Florida, Clay",81495,62078,18971
"Florida, Collier",128683,83631,43892
"Florida, Columbia",24991,16758,8031
"Florida, Dixie",6442,4434,1960
"Florida, Duval",381061,220190,158610
"Florida, Escambia",143278,93566,48329
"Florida, Flagler",38480,19633,18578
"Florida, Franklin",5931,3472,2401
"Florida, Gadsden",20984,6253,14629
"Florida, Gilchrist",7015,4936,2017
"Florida, Glades",4188,2443,1718
"Florida, Gulf",7277,4805,2407
"Florida, Hamilton",5079,2792,2260
"Florida, Hardee",7249,5049,2149
"Florida, Hendry",9775,5757,3960
"Florida, Hernando",80547,42635,37187
"Florida, Highlands",41496,25878,15347
"Florida, Hillsborough",463222,245576,214132
"Florida, Holmes",8300,6412,1810
"Florida, Indian River",61414,36938,23956
"Florida, Jackson",19807,12122,7555
"Florida, Jefferson",7478,3298,4135
"Florida, Lafayette",3325,2460,845
"Florida, Lake",123950,74389,48221
"Florida, Lee",240667,144176,93860
"Florida, Leon",136379,51615,83873
"Florida, Levy",16652,10410,6074
"Florida, Liberty",3021,1927,1070
"Florida, Madison",8304,4191,4050
"Florida, Manatee",143621,81318,61262
"Florida, Marion",139677,81283,57271
"Florida, Martin",72453,41362,30208
"Florida, Miami-Dade",774726,361095,409732
"Florida, Monroe",39535,19467,19654
"Florida, Nassau",32743,23783,8573
"Florida, Okaloosa",89756,69693,19368
"Florida, Okeechobee",12190,6978,5153
"Florida, Orange",388044,192539,193354
"Florida, Osceola",82204,43117,38633
"Florida, Palm Beach",544622,212688,328687
"Florida, Pasco",190916,103230,84749
"Florida, Pinellas",455357,225686,225460
"Florida, Polk",210830,123559,86009
"Florida, Putnam",30973,18311,12412
"Florida, Santa Rosa",67307,52059,14659
"Florida, Sarasota",195652,104692,88442
"Florida, Seminole",186195,108172,76971
"Florida, St. Johns",86290,59196,26399
"Florida, St. Lucie",100063,47592,51835
"Florida, Sumter",31842,19800,11584
"Florida, Suwannee",15802,11153,4522
"Florida, Taylor",8581,5467,3049
"Florida, Union",4675,3396,1251
"Florida, Volusia",228939,111924,115519
"Florida, Wakulla",11763,6777,4896
"Florida, Walton",23976,17555,6213
"Florida, Washington",10366,7369,2912
"Georgia, Appling",6369,4494,1848
"Georgia, Atkinson",2470,1666,799
"Georgia, Bacon",3790,2853,930
"Georgia, Baker",1764,821,936
"Georgia, Baldwin",14547,7709,6775
"Georgia, Banks",5590,4410,1149
"Georgia, Barrow",17727,13520,4095
"Georgia, Bartow",30232,22311,7741
"Georgia, Ben Hill",5536,3331,2180
"Georgia, Berrien",5592,3917,1638
"Georgia, Bibb",57687,28107,29322
"Georgia, Bleckley",4467,3167,1281
"Georgia, Brantley",5618,4333,1258
"Georgia, Brooks",5113,2912,2193
"Georgia, Bryan",9983,7363,2590
"Georgia, Bulloch",19171,12252,6840
"Georgia, Burke",8479,4232,4213
"Georgia, Butts",7734,5119,2572
"Georgia, Calhoun",2019,890,1119
"Georgia, Camden",14175,9488,4637
"Georgia, Candler",3151,2048,1096
"Georgia, Carroll",35278,24837,10224
"Georgia, Catoosa",22304,16406,5807
"Georgia, Charlton",3387,2311,1064
"Georgia, Chatham",91515,45484,45630
"Georgia, Chattahoochee",1688,905,773
"Georgia, Chattooga",7847,4992,2809
"Georgia, Cherokee",73587,58238,14824
"Georgia, Clarke",37235,15052,21718
"Georgia, Clay",1309,509,798
"Georgia, Clayton",79546,23106,56113
"Georgia, Clinch",2265,1501,750
"Georgia, Cobb",279473,173467,103955
"Georgia, Coffee",12327,8306,3979
"Georgia, Colquitt",11730,8296,3378
"Georgia, Columbia",47144,35549,11442
"Georgia, Cook",4816,3065,1733
"Georgia, Coweta",42545,31682,10647
"Georgia, Crawford",4402,2830,1552
"Georgia, Crisp",6250,3865,2357
"Georgia, Dade",6230,4368,1823
"Georgia, Dawson",8113,6649,1407
"Georgia, DeKalb",276139,73570,200787
"Georgia, Decatur",8951,5348,3577
"Georgia, Dodge",6995,4584,2384
"Georgia, Dooly",3844,1853,1973
"Georgia, Dougherty",33647,13711,19805
"Georgia, Douglas",42065,25846,15997
"Georgia, Early",4213,2495,1701
"Georgia, Echols",991,757,231
"Georgia, Effingham",16167,12503,3613
"Georgia, Elbert",7656,4626,2984
"Georgia, Emanuel",7468,4666,2774
"Georgia, Evans",3514,2291,1213
"Georgia, Fannin",9650,6862,2727
"Georgia, Fayette",52528,37346,14887
"Georgia, Floyd",31625,21400,10038
"Georgia, Forsyth",56826,47267,9201
"Georgia, Franklin",7502,5218,2245
"Georgia, Fulton",336024,134372,199436
"Georgia, Gilmer",9998,7414,2510
"Georgia, Glascock",1269,1016,250
"Georgia, Glynn",27692,18608,8962
"Georgia, Gordon",15775,11671,4028
"Georgia, Grady",8191,5068,3092
"Georgia, Greene",6872,4069,2774
"Georgia, Gwinnett",243917,160445,81708
"Georgia, Habersham",13245,10434,2750
"Georgia, Hall",49696,38883,10514
"Georgia, Hancock",3550,822,2715
"Georgia, Haralson",10193,7703,2434
"Georgia, Harris",12331,8878,3400
"Georgia, Hart",9021,5500,3479
"Georgia, Heard",3955,2788,1148
"Georgia, Henry",64153,42759,21096
"Georgia, Houston",45153,29862,15054
"Georgia, Irwin",3414,2347,1051
"Georgia, Jackson",16170,12611,3468
"Georgia, Jasper",4740,3157,1558
"Georgia, Jeff Davis",4844,3549,1277
"Georgia, Jefferson",6535,3066,3447
"Georgia, Jenkins",3403,1898,1494
"Georgia, Johnson",3553,2279,1263
"Georgia, Jones",10845,6939,3855
"Georgia, Lamar",6494,4027,2432
"Georgia, Lanier",2584,1641,931
"Georgia, Laurens",17237,10883,6281
"Georgia, Lee",10413,8201,2182
"Georgia, Liberty",12800,6131,6619
"Georgia, Lincoln",3657,2309,1337
"Georgia, Long",3036,1994,1033
"Georgia, Lowndes",31622,18981,12516
"Georgia, Lumpkin",8855,6690,2091
"Georgia, Macon",4777,1851,2906
"Georgia, Madison",9833,7254,2527
"Georgia, Marion",2952,1670,1275
"Georgia, McDuffie",7773,4846,2899
"Georgia, McIntosh",5378,2837,2523
"Georgia, Meriwether",8147,4402,3709
"Georgia, Miller",2441,1694,736
"Georgia, Mitchell",7267,3885,3360
"Georgia, Monroe",9783,6522,3216
"Georgia, Montgomery",3168,2150,1007
"Georgia, Morgan",7242,4902,2304
"Georgia, Murray",10689,7745,2899
"Georgia, Muscogee",63948,30850,32867
"Georgia, Newton",29166,18095,10939
"Georgia, Oconee",14170,10276,3789
"Georgia, Oglethorpe",5628,3688,1899
"Georgia, Paulding",40467,30843,9420
"Georgia, Peach",8545,4554,3961
"Georgia, Pickens",10627,8115,2444
"Georgia, Pierce",5923,4680,1234
"Georgia, Pike",6741,5193,1506
"Georgia, Polk",12395,8467,3868
"Georgia, Pulaski",3511,2202,1294
"Georgia, Putnam",8107,5188,2880
"Georgia, Quitman",965,409,543
"Georgia, Rabun",6625,4650,1918
"Georgia, Randolph",3047,1418,1612
"Georgia, Richmond",69282,29764,39262
"Georgia, Rockdale",31156,18856,12136
"Georgia, Schley",1530,1063,464
"Georgia, Screven",5923,3360,2534
"Georgia, Seminole",3274,1977,1278
"Georgia, Spalding",21007,13461,7460
"Georgia, Stephens",9660,6904,2714
"Georgia, Stewart",2031,797,1220
"Georgia, Sumter",11287,5688,5562
"Georgia, Talbot",2943,1103,1830
"Georgia, Taliaferro",951,335,612
"Georgia, Tattnall",6463,4657,1787
"Georgia, Taylor",3381,1912,1458
"Georgia, Telfair",3775,2171,1590
"Georgia, Terrell",3824,1859,1951
"Georgia, Thomas",15705,9659,5997
"Georgia, Tift",12520,8619,3864
"Georgia, Toombs",8813,6196,2567
"Georgia, Towns",5277,3823,1430
"Georgia, Treutlen",2756,1691,1052
"Georgia, Troup",21912,14183,7630
"Georgia, Turner",2960,1815,1135
"Georgia, Twiggs",4365,2112,2220
"Georgia, Union",9225,6847,2327
"Georgia, Upson",10086,6634,3424
"Georgia, Walker",21453,15340,5986
"Georgia, Walton",27624,21594,5887
"Georgia, Ware",11281,7790,3449
"Georgia, Warren",2489,1121,1360
"Georgia, Washington",7847,4081,3733
"Georgia, Wayne",9542,6819,2683
"Georgia, Webster",1004,485,515
"Georgia, Wheeler",2049,1192,847
"Georgia, White",9483,7403,2016
"Georgia, Whitfield",26356,19297,6933
"Georgia, Wilcox",2613,1705,902
"Georgia, Wilkes",4543,2490,2028
"Georgia, Wilkinson",4514,2261,2235
"Georgia, Worth",7348,5105,2219
"Hawaii, Hawaii",57702,22032,35116
"Hawaii, Honolulu",298547,144157,152500
"Hawaii, Kauai",24876,9740,14916
"Hawaii, Maui",47430,18187,28803
"Idaho, Ada",155002,94641,58523
"Idaho, Adams",2063,1468,555
"Idaho, Bannock",34843,21479,12903
"Idaho, Bear Lake",3040,2506,494
"Idaho, Benewah",4047,2823,1148
"Idaho, Bingham",16564,12734,3605
"Idaho, Blaine",10146,4034,5992
"Idaho, Boise",3527,2501,970
"Idaho, Bonner",17681,10697,6649
"Idaho, Bonneville",38871,30048,8356
"Idaho, Boundary",4378,3012,1268
"Idaho, Butte",1406,1077,321
"Idaho, Camas",595,450,139
"Idaho, Canyon",55692,41599,13415
"Idaho, Caribou",3281,2753,491
"Idaho, Cassia",7821,6562,1153
"Idaho, Clark",353,302,46
"Idaho, Clearwater",4034,2839,1117
"Idaho, Custer",2358,1762,559
"Idaho, Elmore",8059,6011,1959
"Idaho, Franklin",5054,4527,456
"Idaho, Fremont",5769,4965,741
"Idaho, Gem",7134,5416,1628
"Idaho, Gooding",5325,3973,1278
"Idaho, Idaho",7965,6017,1689
"Idaho, Jefferson",8906,7703,1084
"Idaho, Jerome",6580,5177,1344
"Idaho, Kootenai",54596,36173,17584
"Idaho, Latah",17547,8686,8430
"Idaho, Lemhi",4053,3079,915
"Idaho, Lewis",1820,1359,440
"Idaho, Lincoln",1875,1388,466
"Idaho, Madison",11637,10693,826
"Idaho, Minidoka",7200,5797,1331
"Idaho, Nez Perce",17700,11009,6476
"Idaho, Oneida",2133,1789,304
"Idaho, Owyhee",3590,2859,685
"Idaho, Payette",8180,6256,1848
"Idaho, Power",2958,2105,829
"Idaho, Shoshone",5337,2922,2331
"Idaho, Teton",3690,2235,1416
"Idaho, Twin Falls",26435,19672,6458
"Idaho, Valley",4772,2863,1843
"Idaho, Washington",4359,3274,1033
"Illinois, Adams",31477,20834,10511
"Illinois, Alexander",3873,1831,2016
"Illinois, Bond",7369,4068,3228
"Illinois, Boone",19541,11132,8286
"Illinois, Brown",2585,1679,895
"Illinois, Bureau",17902,9822,7961
"Illinois, Calhoun",2706,1317,1367
"Illinois, Carroll",8135,4534,3537
"Illinois, Cass",5700,3163,2492
"Illinois, Champaign",82434,39896,41524
"Illinois, Christian",15267,9044,6112
"Illinois, Clark",8007,5082,2877
"Illinois, Clay",6554,4416,2101
"Illinois, Clinton",17131,10219,6797
"Illinois, Coles",22780,13015,9566
"Illinois, Cook",2049434,597405,1439724
"Illinois, Crawford",9332,6083,3194
"Illinois, Cumberland",5416,3497,1862
"Illinois, De Witt",7798,4920,2836
"Illinois, DeKalb",40768,21095,19263
"Illinois, Douglas",8540,5702,2767
"Illinois, DuPage",402446,218902,180097
"Illinois, Edgar",8429,5258,3093
"Illinois, Edwards",3364,2412,930
"Illinois, Effingham",16278,11774,4388
"Illinois, Fayette",9549,5880,3571
"Illinois, Ford",6479,4511,1912
"Illinois, Franklin",19352,10388,8816
"Illinois, Fulton",17035,7818,9080
"Illinois, Gallatin",3225,1619,1573
"Illinois, Greene",6068,3559,2457
"Illinois, Grundy",19831,11198,8463
"Illinois, Hamilton",4514,2653,1814
"Illinois, Hancock",9899,5837,3975
"Illinois, Hardin",2437,1501,923
"Illinois, Henderson",4153,1857,2269
"Illinois, Henry",25241,13212,11877
"Illinois, Iroquois",13835,9914,3832
"Illinois, Jackson",25826,11190,14300
"Illinois, Jasper",5336,3529,1781
"Illinois, Jefferson",16948,10160,6713
"Illinois, Jersey",10137,5435,4597
"Illinois, Jo Daviess",11584,6174,5311
"Illinois, Johnson",5865,3997,1813
"Illinois, Kane",171715,94359,75922
"Illinois, Kankakee",45036,24739,20003
"Illinois, Kendall",32402,19774,12374
"Illinois, Knox",24708,11111,13403
"Illinois, LaSalle",50729,26101,24263
"Illinois, Lake",275295,139081,134352
"Illinois, Lawrence",6729,4162,2518
"Illinois, Lee",15876,9307,6416
"Illinois, Livingston",16039,10316,5632
"Illinois, Logan",13467,9112,4273
"Illinois, Macon",51746,28118,23341
"Illinois, Macoupin",22785,11413,11193
"Illinois, Madison",123678,59384,63399
"Illinois, Marion",17224,9413,7694
"Illinois, Marshall",6584,3734,2806
"Illinois, Mason",7183,3907,3215
"Illinois, Massac",7424,4578,2805
"Illinois, McDonough",14929,7656,7119
"Illinois, McHenry",127948,76412,50330
"Illinois, McLean",71620,41276,29877
"Illinois, Menard",6574,4408,2137
"Illinois, Mercer",8974,4405,4512
"Illinois, Monroe",16370,9468,6788
"Illinois, Montgomery",12930,6851,5979
"Illinois, Morgan",15180,9392,5650
"Illinois, Moultrie",6466,4028,2388
"Illinois, Ogle",24091,14918,9018
"Illinois, Peoria",82771,41051,41121
"Illinois, Perry",10425,5589,4770
"Illinois, Piatt",8586,5392,3124
"Illinois, Pike",7980,5032,2849
"Illinois, Pope",2436,1500,918
"Illinois, Pulaski",3108,1720,1372
"Illinois, Putnam",3352,1623,1704
"Illinois, Randolph",14956,8076,6771
"Illinois, Richland",7749,5153,2529
"Illinois, Rock Island",69972,29663,39880
"Illinois, Saline",11814,7057,4697
"Illinois, Sangamon",95375,55904,38630
"Illinois, Schuyler",4031,2403,1594
"Illinois, Scott",2636,1696,927
"Illinois, Shelby",10577,6753,3744
"Illinois, St. Clair",113189,50203,62410
"Illinois, Stark",3061,1841,1189
"Illinois, Stephenson",21320,12212,8913
"Illinois, Tazewell",62338,36058,25814
"Illinois, Union",9119,5333,3735
"Illinois, Vermilion",33714,18731,14726
"Illinois, Wabash",6006,4212,1752
"Illinois, Warren",8457,4474,3938
"Illinois, Washington",8104,5072,2986
"Illinois, Wayne",8287,6102,2139
"Illinois, White",8301,5180,3071
"Illinois, Whiteside",26873,12959,13723
"Illinois, Will",246409,129098,115625
"Illinois, Williamson",29960,18086,11685
"Illinois, Winnebago",121425,60782,59740
"Illinois, Woodford",18802,12698,6005
"Indiana, Adams",13340,9734,3512
"Indiana, Allen",129609,82013,46710
"Indiana, Bartholomew",28515,19093,9191
"Indiana, Benton",3992,2797,1135
"Indiana, Blackford",5380,3447,1903
"Indiana, Boone",22898,17055,5636
"Indiana, Brown",7330,4512,2730
"Indiana, Carroll",8638,5868,2689
"Indiana, Cass",13931,9480,4315
"Indiana, Clark",42337,24495,17648
"Indiana, Clay",10783,7361,3333
"Indiana, Clinton",11877,8471,3335
"Indiana, Crawford",4574,2609,1932
"Indiana, Daviess",10599,7936,2573
"Indiana, DeKalb",15403,10468,4810
"Indiana, Dearborn",20969,14231,6596
"Indiana, Decatur",10199,7499,2621
"Indiana, Delaware",47939,27064,20436
"Indiana, Dubois",17066,11726,5210
"Indiana, Elkhart",61380,42967,17966
"Indiana, Fayette",9468,5761,3626
"Indiana, Floyd",33890,19877,13857
"Indiana, Fountain",7804,5260,2477
"Indiana, Franklin",9992,6977,2925
"Indiana, Fulton",8703,6027,2607
"Indiana, Gibson",14614,9133,5378
"Indiana, Grant",27460,18769,8509
"Indiana, Greene",13352,8609,4606
"Indiana, Hamilton",104906,77887,26388
"Indiana, Hancock",27867,20771,6912
"Indiana, Harrison",17310,11015,6171
"Indiana, Hendricks",52302,38430,13548
"Indiana, Henry",20504,13137,7176
"Indiana, Howard",37021,23714,12998
"Indiana, Huntington",15627,11617,3877
"Indiana, Jackson",16309,11083,5092
"Indiana, Jasper",11844,8056,3678
"Indiana, Jay",8232,5427,2740
"Indiana, Jefferson",12971,7763,5117
"Indiana, Jennings",10517,6864,3538
"Indiana, Johnson",51255,37765,13109
