Location,2008,total_votes,2008_democrat_votes,2008_republican_votes
"Alabama, Autauga",53277.0,23641,6093.0,17403.0
"Alabama, Baldwin",175827.0,81413,19386.0,61271.0
"Alabama, Barbour",27808.0,11630,5697.0,5866.0
"Alabama, Bibb",22705.0,8644,2299.0,6262.0
"Alabama, Blount",57055.0,24267,3522.0,20389.0
"Alabama, Bullock",10953.0,5415,4011.0,1391.0
"Alabama, Butler",20949.0,9709,4188.0,5485.0
"Alabama, Calhoun",117274.0,49242,16334.0,32348.0
"Alabama, Chambers",34563.0,14956,6799.0,8067.0
"Alabama, Cherokee",25636.0,9745,2306.0,7298.0
"Alabama, Chilton",43239.0,17785,3674.0,13960.0
"Alabama, Choctaw",14114.0,7894,3636.0,4223.0
"Alabama, Clarke",26283.0,13435,5914.0,7466.0
"Alabama, Clay",14161.0,6819,1760.0,4984.0
"Alabama, Cleburne",14874.0,6492,1168.0,5216.0
"Alabama, Coffee",48516.0,20128,5079.0,14919.0
"Alabama, Colbert",54473.0,24843,9703.0,14739.0
"Alabama, Conecuh",13388.0,6943,3429.0,3470.0
"Alabama, Coosa",11493.0,5563,2273.0,3248.0
"Alabama, Covington",37545.0,15787,3240.0,12444.0
"Alabama, Crenshaw",13922.0,6291,1938.0,4319.0
"Alabama, Cullman",80273.0,35305,5864.0,28896.0
"Alabama, Dale",49871.0,19320,5270.0,13886.0
"Alabama, Dallas",44265.0,20852,13986.0,6798.0
"Alabama, DeKalb",70228.0,24015,5658.0,17957.0
"Alabama, Elmore",77698.0,34315,8301.0,25777.0
"Alabama, Escambia",37929.0,14674,5188.0,9375.0
"Alabama, Etowah",104206.0,44737,13497.0,30595.0
"Alabama, Fayette",17541.0,7957,1994.0,5883.0
"Alabama, Franklin",31459.0,11693,3469.0,8048.0
"Alabama, Geneva",26646.0,11657,2134.0,9417.0
"Alabama, Greene",9359.0,5305,4408.0,876.0
"Alabama, Hale",16260.0,8214,4982.0,3200.0
"Alabama, Henry",17129.0,8648,3018.0,5585.0
"Alabama, Houston",99183.0,41735,12225.0,29254.0
"Alabama, Jackson",53525.0,20874,6374.0,14083.0
"Alabama, Jefferson",656510.0,318524,166121.0,149921.0
"Alabama, Lamar",14799.0,7075,1614.0,5419.0
"Alabama, Lauderdale",92202.0,38104,13329.0,24068.0
"Alabama, Lawrence",34196.0,14680,5164.0,9277.0
"Alabama, Lee",134524.0,54325,21498.0,32230.0
"Alabama, Limestone",78835.0,33551,9536.0,23598.0
"Alabama, Lowndes",11813.0,7278,5449.0,1809.0
"Alabama, Macon",21597.0,10877,9450.0,1396.0
"Alabama, Madison",323526.0,152899,64117.0,86965.0
"Alabama, Marengo",21331.0,11471,5926.0,5516.0
"Alabama, Marion",30918.0,12355,2600.0,9536.0
"Alabama, Marshall",91072.0,33166,7038.0,25727.0
"Alabama, Mobile",409196.0,181424,82181.0,98049.0
"Alabama, Monroe",23393.0,11252,5025.0,6175.0
"Alabama, Montgomery",227461.0,104743,62166.0,42031.0
"Alabama, Morgan",117694.0,50542,13895.0,36014.0
"Alabama, Perry",10722.0,6159,4457.0,1679.0
"Alabama, Pickens",19951.0,10067,4594.0,5434.0
"Alabama, Pike",32149.0,13955,5879.0,8004.0
"Alabama, Randolph",22946.0,10384,3064.0,7175.0
"Alabama, Russell",51434.0,18915,10085.0,8705.0
"Alabama, St. Clair",81223.0,34088,6091.0,27649.0
"Alabama, Shelby",188534.0,90643,20625.0,69060.0
"Alabama, Sumter",13882.0,7020,5264.0,1731.0
"Alabama, Talladega",82735.0,34204,13779.0,20112.0
"Alabama, Tallapoosa",41668.0,19311,6063.0,13116.0
"Alabama, Tuscaloosa",188093.0,78912,32796.0,45405.0
"Alabama, Walker",67835.0,28652,7420.0,20722.0
"Alabama, Washington",17496.0,8775,3067.0,5654.0
"Alabama, Wilcox",12148.0,6494,4612.0,1868.0
"Alabama, Winston",24696.0,10031,1757.0,8103.0
"Arizona, Apache",69883.0,24262,15390.0,8551.0
"Arizona, Cochise",129023.0,48820,18943.0,29026.0
"Arizona, Coconino",131853.0,54344,31433.0,22186.0
"Arizona, Gila",53437.0,22333,7884.0,14095.0
"Arizona, Graham",36639.0,12007,3487.0,8376.0
"Arizona, Greenlee",8561.0,2913,1165.0,1712.0
"Arizona, La Paz",20555.0,5552,1929.0,3509.0
"Arizona, Maricopa",3771061.0,1364962,602166.0,746448.0
"Arizona, Mohave",200078.0,67605,22092.0,44333.0
"Arizona, Navajo",107626.0,35800,15579.0,19761.0
"Arizona, Pima",967778.0,393428,206254.0,182406.0
"Arizona, Pinal",335311.0,104883,44254.0,59421.0
"Arizona, Santa Cruz",46144.0,13303,8683.0,4518.0
"Arizona, Yavapai",211211.0,99648,36889.0,61192.0
"Arizona, Yuma",191202.0,43615,18559.0,24577.0
"Arkansas, Arkansas",19275.0,6978,2619.0,4185.0
"Arkansas, Ashley",22148.0,8642,2976.0,5406.0
"Arkansas, Baxter",41519.0,19981,6539.0,12852.0
"Arkansas, Benton",210807.0,76073,23331.0,51124.0
"Arkansas, Boone",36974.0,15474,4435.0,10575.0
"Arkansas, Bradley",11643.0,4041,1680.0,2262.0
"Arkansas, Calhoun",5528.0,2217,691.0,1462.0
"Arkansas, Carroll",26822.0,10579,4172.0,6083.0
"Arkansas, Chicot",12050.0,5208,3043.0,2119.0
"Arkansas, Clark",23272.0,9094,4267.0,4608.0
"Arkansas, Clay",16209.0,5511,2244.0,3032.0
"Arkansas, Cleburne",25623.0,11338,2951.0,7962.0
"Arkansas, Cleveland",8775.0,3505,911.0,2451.0
"Arkansas, Columbia",24666.0,9558,3554.0,5861.0
"Arkansas, Conway",21025.0,8138,3149.0,4691.0
"Arkansas, Craighead",93316.0,30968,11294.0,18881.0
"Arkansas, Crawford",60933.0,20532,5238.0,14688.0
"Arkansas, Crittenden",50699.0,18255,10330.0,7650.0
"Arkansas, Cross",18200.0,7130,2580.0,4393.0
"Arkansas, Dallas",8282.0,3318,1471.0,1757.0
"Arkansas, Desha",13273.0,4678,2569.0,1999.0
