Location,2008,total_votes,2008_democrat_votes,2008_republican_votes
"Arkansas, Drew",18481.0,6610,2598.0,3860.0
"Arkansas, Faulkner",108477.0,41179,14955.0,25362.0
"Arkansas, Franklin",18229.0,6475,1869.0,4411.0
"Arkansas, Fulton",12382.0,4676,1819.0,2702.0
"Arkansas, Garland",95636.0,43719,15899.0,26825.0
"Arkansas, Grant",17718.0,6793,1562.0,5023.0
"Arkansas, Greene",41286.0,13612,4541.0,8578.0
"Arkansas, Hempstead",22624.0,7349,2869.0,4273.0
"Arkansas, Hot Spring",32737.0,11955,4288.0,7209.0
"Arkansas, Howard",13804.0,4846,1746.0,2957.0
"Arkansas, Independence",35859.0,12299,3688.0,8255.0
"Arkansas, Izard",13681.0,5218,1792.0,3193.0
"Arkansas, Jackson",17966.0,5582,2207.0,3118.0
"Arkansas, Jefferson",78354.0,29689,18465.0,10655.0
"Arkansas, Johnson",25236.0,8180,3034.0,4922.0
"Arkansas, Lafayette",7806.0,2902,1133.0,1685.0
"Arkansas, Lawrence",17460.0,5830,2138.0,3357.0
"Arkansas, Lee",10786.0,3763,2263.0,1454.0
"Arkansas, Lincoln",14176.0,4406,1710.0,2513.0
"Arkansas, Little River",13099.0,5152,1753.0,3247.0
"Arkansas, Logan",22699.0,7907,2286.0,5350.0
"Arkansas, Lonoke",66086.0,23741,5968.0,17242.0
"Arkansas, Madison",15619.0,6328,2144.0,3972.0
"Arkansas, Marion",16996.0,7162,2384.0,4524.0
"Arkansas, Miller",43047.0,15063,4869.0,9913.0
"Arkansas, Mississippi",47037.0,14010,6667.0,6976.0
"Arkansas, Monroe",8456.0,3449,1615.0,1754.0
"Arkansas, Montgomery",9573.0,3622,1092.0,2365.0
"Arkansas, Nevada",9062.0,3635,1474.0,2062.0
"Arkansas, Newton",8423.0,3960,1182.0,2588.0
"Arkansas, Ouachita",26202.0,9960,4346.0,5427.0
"Arkansas, Perry",10441.0,4279,1352.0,2743.0
"Arkansas, Phillips",22411.0,8969,5695.0,3097.0
"Arkansas, Pike",11283.0,3966,1089.0,2727.0
"Arkansas, Poinsett",24599.0,7928,2742.0,4903.0
"Arkansas, Polk",20388.0,7681,1957.0,5473.0
"Arkansas, Pope",60528.0,22079,6002.0,15568.0
"Arkansas, Prairie",8806.0,3381,1048.0,2223.0
"Arkansas, Pulaski",376567.0,161343,88854.0,70212.0
"Arkansas, Randolph",18072.0,6319,2469.0,3615.0
"Arkansas, St. Francis",28110.0,9505,5486.0,3917.0
"Arkansas, Saline",102599.0,44653,12695.0,30981.0
"Arkansas, Scott",11227.0,3995,1053.0,2791.0
"Arkansas, Searcy",8274.0,3847,961.0,2726.0
"Arkansas, Sebastian",123762.0,43212,13673.0,28637.0
"Arkansas, Sevier",16606.0,4580,1291.0,3125.0
"Arkansas, Sharp",17416.0,7252,2436.0,4535.0
"Arkansas, Stone",12370.0,5324,1598.0,3534.0
"Arkansas, Union",42222.0,17179,6190.0,10677.0
"Arkansas, Van Buren",17373.0,6703,2151.0,4276.0
"Arkansas, Washington",197223.0,68380,29021.0,37963.0
"Arkansas, White",74848.0,26955,6732.0,19467.0
"Arkansas, Woodruff",7458.0,2761,1412.0,1206.0
"Arkansas, Yell",21935.0,6036,2003.0,3808.0
"California, Alameda",1477208.0,621029,489106.0,119555.0
"California, Alpine",1202.0,692,422.0,252.0
"California, Amador",38248.0,18810,7813.0,10561.0
"California, Butte",219034.0,98325,49013.0,46706.0
"California, Calaveras",46265.0,23306,9813.0,12835.0
"California, Colusa",21134.0,6429,2569.0,3733.0
"California, Contra Costa",1023344.0,451650,306983.0,136436.0
"California, Del Norte",28496.0,9531,4323.0,4967.0
"California, El Dorado",179150.0,92926,40529.0,50314.0
"California, Fresno",909630.0,272289,136706.0,131015.0
"California, Glenn",28019.0,9879,3734.0,5910.0
"California, Humboldt",132657.0,63727,39692.0,21713.0
"California, Imperial",167917.0,38820,24162.0,14008.0
"California, Inyo",18318.0,8533,3743.0,4523.0
"California, Kern",818327.0,232850,93457.0,134793.0
"California, Kings",152027.0,35108,14747.0,19710.0
"California, Lake",64392.0,25542,14854.0,9935.0
"California, Lassen",35221.0,11387,3586.0,7483.0
"California, Los Angeles",9735147.0,3318248,2295853.0,956425.0
"California, Madera",148359.0,42355,17952.0,23583.0
"California, Marin",248398.0,140197,109320.0,28384.0
"California, Mariposa",18412.0,9651,4100.0,5298.0
"California, Mendocino",87468.0,40016,27843.0,10721.0
"California, Merced",250538.0,63808,34031.0,28704.0
"California, Modoc",9551.0,4420,1313.0,2981.0
"California, Mono",13862.0,5571,3093.0,2354.0
"California, Monterey",406022.0,129783,88453.0,38797.0
"California, Napa",134093.0,59642,38849.0,19484.0
"California, Nevada",98200.0,55647,28617.0,25663.0
"California, Orange",2957593.0,1153687,549558.0,579064.0
"California, Placer",337568.0,173107,75112.0,94647.0
"California, Plumas",20410.0,11028,4715.0,6035.0
"California, Riverside",2109712.0,647299,325017.0,310041.0
"California, Sacramento",1394438.0,541101,316506.0,213583.0
"California, San Benito",54267.0,19705,11917.0,7425.0
"California, San Bernardino",2003735.0,606334,315720.0,277408.0
"California, San Diego",3022116.0,1231047,666581.0,541032.0
"California, San Francisco",791152.0,382865,322220.0,52292.0
"California, San Joaquin",671692.0,209349,113974.0,91607.0
"California, San Luis Obispo",266358.0,132653,68176.0,61055.0
"California, San Mateo",703830.0,303292,222826.0,75057.0
"California, Santa Barbara",415859.0,174912,105614.0,65585.0
"California, Santa Clara",1740964.0,665589,462241.0,190039.0
"California, Santa Cruz",256520.0,127483,98745.0,25244.0
"California, Shasta",177247.0,80390,28867.0,49588.0
"California, Sierra",3320.0,1991,743.0,1158.0
"California, Siskiyou",44780.0,21470,9292.0,11520.0
"California, Solano",408972.0,160973,102095.0,56035.0
"California, Sonoma",473091.0,229351,168888.0,55127.0
"California, Stanislaus",509032.0,161015,80279.0,77497.0
"California, Sutter",93855.0,32941,13412.0,18911.0
"California, Tehama",62648.0,24436,8945.0,14843.0
"California, Trinity",13656.0,6374,3233.0,2940.0
"California, Tulare",429283.0,105206,43634.0,59765.0
"California, Tuolumne",56320.0,27181,11532.0,14988.0
"California, Ventura",806353.0,339800,187601.0,145853.0
"California, Yolo",197154.0,79749,53488.0,24592.0
"California, Yuba",71773.0,21401,8866.0,12007.0
"Colorado, Adams",424913.0,160499,93443.0,63976.0
"Colorado, Alamosa",15300.0,6286,3521.0,2635.0
"Colorado, Arapahoe",552461.0,266148,148218.0,113866.0
"Colorado, Archuleta",12250.0,6625,2836.0,3638.0
"Colorado, Baca",3806.0,2175,536.0,1572.0
"Colorado, Bent",5962.0,1920,799.0,1077.0
"Colorado, Boulder",290859.0,171763,124159.0,44904.0
"Colorado, Broomfield",53181.0,29453,16168.0,12757.0
"Colorado, Chaffee",17573.0,9920,4861.0,4873.0
"Colorado, Cheyenne",1881.0,1111,198.0,890.0
"Colorado, Clear Creek",9138.0,5767,3332.0,2300.0
"Colorado, Conejos",8200.0,3874,2154.0,1653.0
"Colorado, Costilla",3532.0,1697,1245.0,415.0
"Colorado, Crowley",5947.0,1558,552.0,976.0
"Colorado, Custer",4107.0,2629,912.0,1672.0
"Colorado, Delta",30712.0,15434,5084.0,10067.0
"Colorado, Denver",575721.0,271533,204882.0,62567.0
"Colorado, Dolores",2061.0,1217,369.0,818.0
"Colorado, Douglas",275500.0,151819,61960.0,88108.0
"Colorado, Eagle",51049.0,21652,13187.0,8179.0
"Colorado, Elbert",22634.0,13206,3819.0,9108.0
"Colorado, El Paso",597919.0,273175,108899.0,160318.0
"Colorado, Fremont",47166.0,19919,6844.0,12668.0
"Colorado, Garfield",55449.0,23082,11357.0,11359.0
"Colorado, Gilpin",5026.0,3301,1954.0,1253.0
"Colorado, Grand",14622.0,8308,4037.0,4128.0
"Colorado, Gunnison",15250.0,8870,5556.0,3131.0
"Colorado, Hinsdale",818.0,599,240.0,344.0
"Colorado, Huerfano",7073.0,3643,1989.0,1580.0
"Colorado, Jackson",1378.0,913,277.0,624.0
"Colorado, Jefferson",529003.0,295062,158153.0,131627.0
"Colorado, Kiowa",1392.0,852,178.0,650.0
"Colorado, Kit Carson",8157.0,3442,912.0,2455.0
"Colorado, Lake",7450.0,3002,1859.0,1078.0
"Colorado, La Plata",50291.0,27979,16057.0,11503.0
"Colorado, Larimer",291650.0,166373,89822.0,73641.0
"Colorado, Las Animas",15770.0,6761,3562.0,3086.0
"Colorado, Lincoln",5468.0,2304,546.0,1717.0
"Colorado, Logan",22128.0,8977,2846.0,6002.0
"Colorado, Mesa",143155.0,69631,24008.0,44578.0
"Colorado, Mineral",774.0,623,270.0,334.0
"Colorado, Moffat",13585.0,5871,1582.0,4135.0
"Colorado, Montezuma",25222.0,11825,4661.0,6961.0
"Colorado, Montrose",40658.0,19153,6495.0,12199.0
"Colorado, Morgan",27701.0,10234,3813.0,6272.0
"Colorado, Otero",18726.0,8064,3546.0,4393.0
"Colorado, Ouray",4405.0,3060,1636.0,1367.0
"Colorado, Park",16394.0,9383,4250.0,4896.0
"Colorado, Phillips",4349.0,2260,622.0,1612.0
"Colorado, Pitkin",16454.0,9966,7349.0,2484.0
"Colorado, Prowers",12663.0,4615,1487.0,3043.0
"Colorado, Pueblo",156748.0,72427,41097.0,30257.0
"Colorado, Rio Blanco",6522.0,3147,655.0,2437.0
"Colorado, Rio Grande",11860.0,5444,2448.0,2930.0
"Colorado, Routt",23135.0,13199,8270.0,4725.0
"Colorado, Saguache",6179.0,2747,1730.0,953.0
"Colorado, San Juan",670.0,496,264.0,218.0
"Colorado, San Miguel",7366.0,4350,3349.0,933.0
"Colorado, Sedgwick",2421.0,1351,468.0,857.0
"Colorado, Summit",27144.0,14899,9802.0,4883.0
"Colorado, Teller",22725.0,12906,4513.0,8146.0
"Colorado, Washington",4792.0,2513,529.0,1949.0
"Colorado, Weld",243442.0,105866,47292.0,56526.0
"Colorado, Yuma",9843.0,4483,1117.0,3286.0
"Connecticut, Fairfield",903824.0,411096,241320.0,166845.0
"Connecticut, Hartford",887891.0,411785,268301.0,138716.0
"Connecticut, Litchfield",190175.0,98870,51037.0,46176.0
"Connecticut, Middlesex",164962.0,87155,52966.0,32907.0
"Connecticut, New Haven",856622.0,381739,232820.0,144465.0
"Connecticut, New London",272634.0,124765,74745.0,48460.0
"Connecticut, Tolland",151583.0,75406,44969.0,29262.0
"Connecticut, Windham",117888.0,56269,34133.0,21210.0
"Delaware, Kent",157925.0,66925,36392.0,29827.0
"Delaware, New Castle",533958.0,256417,178768.0,74608.0
"Delaware, Sussex",191991.0,89070,40299.0,47939.0
"District of Columbia, District of Columbia",580236.0,265853,245800.0,17367.0
"Florida, Alachua",244888.0,125519,75565.0,48513.0
"Florida, Baker",26725.0,11059,2327.0,8672.0
"Florida, Bay",166267.0,81127,23653.0,56683.0
"Florida, Bradford",28961.0,11676,3430.0,8136.0
"Florida, Brevard",542378.0,287859,127620.0,157589.0
"Florida, Broward",1723633.0,733899,492640.0,237729.0
"Florida, Calhoun",14351.0,6244,1821.0,4345.0
"Florida, Charlotte",160467.0,85158,39031.0,45205.0
"Florida, Citrus",142122.0,76158,31460.0,43706.0
"Florida, Clay",187289.0,94577,26697.0,67203.0
"Florida, Collier",316641.0,141988,54450.0,86379.0
"Florida, Columbia",67318.0,28128,9171.0,18670.0
"Florida, Dixie",16214.0,7264,1925.0,5194.0
"Florida, Duval",855437.0,415761,202618.0,210537.0
"Florida, Escambia",296854.0,154447,61572.0,91411.0
"Florida, Flagler",93546.0,49031,24726.0,23951.0
"Florida, Franklin",11484.0,6029,2134.0,3818.0
"Florida, Gadsden",46319.0,22510,15582.0,6811.0
"Florida, Gilchrist",16797.0,7819,1996.0,5656.0
"Florida, Glades",12752.0,4261,1674.0,2533.0
"Florida, Gulf",15851.0,7205,2149.0,4980.0
"Florida, Hamilton",14785.0,5587,2364.0,3179.0
"Florida, Hardee",27603.0,7412,2568.0,4763.0
"Florida, Hendry",39177.0,10879,4998.0,5780.0
"Florida, Hernando",172437.0,87901,41886.0,45021.0
"Florida, Highlands",99568.0,44783,18135.0,26221.0
"Florida, Hillsborough",1196773.0,513312,272963.0,236355.0
"Florida, Holmes",20141.0,8589,1446.0,7033.0
"Florida, Indian River",136277.0,70591,29710.0,40176.0
"Florida, Jackson",50272.0,21565,7671.0,13717.0
"Florida, Jefferson",14606.0,7957,4088.0,3797.0
"Florida, Lafayette",8465.0,3359,642.0,2679.0
"Florida, Lake",293654.0,146926,62948.0,82802.0
"Florida, Lee",610984.0,269276,119701.0,147608.0
"Florida, Leon",271130.0,148608,91747.0,55705.0
"Florida, Levy",40809.0,18725,6711.0,11754.0
"Florida, Liberty",8323.0,3278,895.0,2339.0
"Florida, Madison",19347.0,8907,4270.0,4544.0
"Florida, Manatee",318766.0,151994,70034.0,80721.0
"Florida, Marion",330052.0,162022,70839.0,89628.0
"Florida, Martin",144369.0,78294,33508.0,44143.0
"Florida, Miami-Dade",2436062.0,863486,499831.0,360551.0
"Florida, Monroe",72730.0,40272,20907.0,18933.0
"Florida, Nassau",71557.0,38304,10618.0,27403.0
"Florida, Okaloosa",181752.0,95529,25872.0,68789.0
"Florida, Okeechobee",39968.0,12786,5108.0,7561.0
"Florida, Orange",1115525.0,462711,273009.0,186832.0
"Florida, Osceola",261746.0,100670,59962.0,40086.0
"Florida, Palm Beach",1294938.0,590500,361271.0,226037.0
"Florida, Pasco",461313.0,214866,102417.0,110104.0
"Florida, Pinellas",916458.0,463282,248299.0,210066.0
"Florida, Polk",594801.0,244833,113865.0,128878.0
"Florida, Putnam",74999.0,33171,13236.0,19637.0
"Florida, St. Johns",181720.0,105844,35791.0,69222.0
"Florida, St. Lucie",273151.0,120579,67125.0,52512.0
"Florida, Santa Rosa",148538.0,76185,19470.0,55972.0
"Florida, Sarasota",377178.0,207353,102686.0,102897.0
"Florida, Seminole",416564.0,205895,99335.0,105070.0
"Florida, Sumter",86433.0,48868,17655.0,30866.0
"Florida, Suwannee",40774.0,17662,4916.0,12534.0
"Florida, Taylor",22356.0,9366,2803.0,6457.0
"Florida, Union",15718.0,5285,1299.0,3933.0
"Florida, Volusia",497366.0,243824,127795.0,113938.0
"Florida, Wakulla",29183.0,14376,5311.0,8877.0
"Florida, Walton",53563.0,27046,7174.0,19561.0
"Florida, Washington",24706.0,11131,2863.0,8178.0
"Georgia, Appling",18133.0,6996,1846.0,5085.0
"Georgia, Atkinson",8366.0,2904,938.0,1941.0
"Georgia, Bacon",10987.0,3938,817.0,3089.0
"Georgia, Baker",3728.0,1687,846.0,828.0
"Georgia, Baldwin",47855.0,16537,8587.0,7823.0
"Georgia, Banks",17953.0,6241,1027.0,5120.0
"Georgia, Barrow",67362.0,24582,6657.0,17625.0
"Georgia, Bartow",98415.0,36093,9662.0,25976.0
"Georgia, Ben Hill",17675.0,6036,2590.0,3417.0
"Georgia, Berrien",18863.0,6449,1471.0,4901.0
"Georgia, Bibb",154384.0,66368,38987.0,27037.0
"Georgia, Bleckley",12985.0,5071,1380.0,3657.0
"Georgia, Brantley",17593.0,6277,1119.0,5080.0
"Georgia, Brooks",16475.0,6201,2669.0,3507.0
"Georgia, Bryan",29178.0,12845,3636.0,9112.0
"Georgia, Bulloch",67092.0,23920,9586.0,14174.0
"Georgia, Burke",23084.0,9626,5233.0,4344.0
"Georgia, Butts",23794.0,9091,3065.0,5947.0
"Georgia, Calhoun",6456.0,2211,1342.0,862.0
"Georgia, Camden",49713.0,17084,6482.0,10502.0
"Georgia, Candler",10691.0,3518,1209.0,2286.0
"Georgia, Carroll",110242.0,43498,14334.0,28661.0
"Georgia, Catoosa",63271.0,24496,6025.0,18218.0
"Georgia, Charlton",12604.0,3685,1197.0,2466.0
"Georgia, Chatham",255269.0,110238,62755.0,46829.0
"Georgia, Chattahoochee",11624.0,1653,830.0,811.0
"Georgia, Chattooga",26146.0,8307,2596.0,5572.0
"Georgia, Cherokee",208271.0,93772,22350.0,70279.0
"Georgia, Clarke",115768.0,45510,29591.0,15333.0
"Georgia, Clay",3233.0,1440,879.0,558.0
"Georgia, Clayton",262099.0,99438,82527.0,16506.0
"Georgia, Clinch",6941.0,2696,989.0,1678.0
"Georgia, Cobb",679822.0,315444,141216.0,170957.0
"Georgia, Coffee",41813.0,13747,4811.0,8872.0
"Georgia, Colquitt",44872.0,13435,4139.0,9185.0
"Georgia, Columbia",117504.0,55351,15703.0,39322.0
"Georgia, Cook",17067.0,5903,2075.0,3782.0
"Georgia, Coweta",122281.0,53549,15521.0,37571.0
"Georgia, Crawford",12967.0,5240,1832.0,3358.0
"Georgia, Crisp",23243.0,7550,3085.0,4424.0
"Georgia, Dade",16651.0,6408,1612.0,4703.0
"Georgia, Dawson",21951.0,9974,1632.0,8242.0
"Georgia, Decatur",28010.0,10374,4424.0,5890.0
"Georgia, DeKalb",685646.0,322301,254594.0,65581.0
"Georgia, Dodge",21399.0,8212,2595.0,5543.0
"Georgia, Dooly",14191.0,4160,2138.0,1991.0
"Georgia, Dougherty",94363.0,38846,26135.0,12547.0
"Georgia, Douglas",129508.0,55083,27825.0,26812.0
"Georgia, Early",11262.0,5335,2603.0,2711.0
"Georgia, Echols",3954.0,1187,201.0,981.0
"Georgia, Effingham",50738.0,20316,4936.0,15230.0
"Georgia, Elbert",20477.0,8317,3366.0,4868.0
"Georgia, Emanuel",22421.0,8242,3068.0,5110.0
"Georgia, Evans",11020.0,3855,1374.0,2462.0
"Georgia, Fannin",23416.0,10584,2611.0,7807.0
"Georgia, Fayette",105192.0,59321,20313.0,38501.0
"Georgia, Floyd",95922.0,34213,10691.0,23132.0
"Georgia, Forsyth",166338.0,75376,15406.0,59166.0
"Georgia, Franklin",22254.0,8073,1914.0,6069.0
"Georgia, Fulton",888694.0,405628,272000.0,130136.0
"Georgia, Gilmer",28211.0,11149,2614.0,8408.0
"Georgia, Glascock",3010.0,1428,210.0,1202.0
"Georgia, Glynn",78013.0,33341,12676.0,20479.0
"Georgia, Gordon",54567.0,17607,4268.0,13113.0
"Georgia, Grady",24728.0,9365,3539.0,5775.0
"Georgia, Greene",15869.0,7919,3339.0,4532.0
"Georgia, Gwinnett",780721.0,290147,129025.0,158746.0
"Georgia, Habersham",42550.0,14808,2900.0,11766.0
"Georgia, Hall",177277.0,59928,14457.0,44962.0
"Georgia, Hancock",9808.0,4344,3535.0,795.0
"Georgia, Haralson",28645.0,11097,2248.0,8658.0
"Georgia, Harris",30807.0,14908,4184.0,10648.0
"Georgia, Hart",25138.0,10002,3365.0,6537.0
"Georgia, Heard",11809.0,4225,1042.0,3133.0
"Georgia, Henry",194658.0,88229,40527.0,47115.0
"Georgia, Houston",134922.0,55931,22094.0,33392.0
"Georgia, Irwin",9803.0,3828,1197.0,2605.0
"Georgia, Jackson",59420.0,22960,4950.0,17776.0
"Georgia, Jasper",13769.0,5904,1935.0,3916.0
"Georgia, Jeff Davis",14577.0,5278,1356.0,3867.0
"Georgia, Jefferson",16925.0,7234,4149.0,3061.0
"Georgia, Jenkins",8340.0,3440,1482.0,1936.0
"Georgia, Johnson",10127.0,3647,1198.0,2426.0
"Georgia, Jones",28552.0,12438,4572.0,7782.0
"Georgia, Lamar",18025.0,7688,2752.0,4873.0
"Georgia, Lanier",9560.0,2873,1062.0,1787.0
"Georgia, Laurens",48192.0,19937,7769.0,12052.0
"Georgia, Lee",28111.0,13087,3100.0,9925.0
"Georgia, Liberty",62635.0,16376,10474.0,5828.0
"Georgia, Lincoln",8156.0,4416,1650.0,2731.0
"Georgia, Long",12744.0,3450,1288.0,2119.0
"Georgia, Lowndes",104918.0,39240,17651.0,21296.0
"Georgia, Lumpkin",29128.0,11075,2586.0,8326.0
"Georgia, McDuffie",21790.0,9544,3989.0,5400.0
"Georgia, McIntosh",13973.0,6236,2905.0,3282.0
"Georgia, Macon",14496.0,4984,3251.0,1712.0
"Georgia, Madison",27820.0,11365,2965.0,8226.0
"Georgia, Marion",8357.0,3188,1381.0,1772.0
"Georgia, Meriwether",22632.0,9504,4465.0,4982.0
"Georgia, Miller",6158.0,2738,818.0,1899.0
"Georgia, Mitchell",23840.0,8120,3872.0,4201.0
"Georgia, Monroe",25969.0,12131,4106.0,7933.0
"Georgia, Montgomery",9100.0,3590,1045.0,2521.0
"Georgia, Morgan",17958.0,9151,3091.0,5987.0
"Georgia, Murray",39869.0,11382,3026.0,8180.0
"Georgia, Muscogee",184763.0,74065,44158.0,29568.0
"Georgia, Newton",98240.0,41435,20827.0,20337.0
"Georgia, Oconee",31697.0,17132,4825.0,12120.0
"Georgia, Oglethorpe",14663.0,6447,2232.0,4144.0
"Georgia, Paulding",137066.0,56985,17229.0,39192.0
"Georgia, Peach",27222.0,11165,5927.0,5173.0
"Georgia, Pickens",29531.0,12786,2595.0,10004.0
"Georgia, Pierce",18210.0,6791,1253.0,5500.0
"Georgia, Pike",17619.0,8203,1575.0,6547.0
"Georgia, Polk",41407.0,14113,4052.0,9850.0
"Georgia, Pulaski",11638.0,3953,1377.0,2553.0
"Georgia, Putnam",21075.0,9132,3102.0,5966.0
"Georgia, Quitman",2547.0,1114,597.0,509.0
"Georgia, Rabun",16359.0,7599,2001.0,5487.0
"Georgia, Randolph",7645.0,3215,1833.0,1370.0
"Georgia, Richmond",198423.0,79333,52100.0,26842.0
"Georgia, Rockdale",83558.0,37706,20526.0,16921.0
"Georgia, Schley",4835.0,1738,479.0,1252.0
"Georgia, Screven",14843.0,6481,3024.0,3423.0
"Georgia, Seminole",8827.0,3996,1660.0,2315.0
"Georgia, Spalding",63651.0,25255,10141.0,14885.0
"Georgia, Stephens",26004.0,10517,2705.0,7689.0
"Georgia, Stewart",5814.0,2105,1305.0,783.0
