Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes
"Arkansas, Woodruff",2571,1347,1118
"Arkansas, Yell",6439,4608,1480
"California, Alameda",654266,95922,514842
"California, Alpine",602,217,334
"California, Amador",17734,10485,6004
"California, Butte",95564,45144,41567
"California, Calaveras",23136,13511,7944
"California, Colusa",6632,3551,2661
"California, Contra Costa",466175,115956,319287
"California, Del Norte",9558,5134,3485
"California, El Dorado",93591,49247,36404
"California, Fresno",282319,124049,141341
"California, Glenn",9470,5788,3065
"California, Humboldt",59246,18373,33200
"California, Imperial",48091,12704,32667
"California, Inyo",8086,4248,3155
"California, Kern",244163,129584,98689
"California, Kings",33915,18093,13617
"California, Lake",24496,10599,11496
"California, Lassen",10524,7574,2224
"California, Los Angeles",3434308,769743,2464364
"California, Madera",43112,23357,17029
"California, Marin",139273,21771,108707
"California, Mariposa",8877,5185,3122
"California, Mendocino",37477,10888,22079
"California, Merced",70789,28725,37317
"California, Modoc",3788,2696,877
"California, Mono",5276,2111,2773
"California, Monterey",133408,34895,89088
"California, Napa",61372,17411,39199
"California, Nevada",54935,23365,26053
"California, Orange",1197521,507148,609961
"California, Placer",182839,95138,73509
"California, Plumas",9676,5420,3459
"California, Riverside",751391,333243,373695
"California, Sacramento",559330,189789,326023
"California, San Benito",21924,7841,12521
"California, San Bernardino",653983,271240,340833
"California, San Diego",1306400,477766,735476
"California, San Francisco",405792,37688,345084
"California, San Joaquin",224166,88936,121124
"California, San Luis Obispo",135009,56164,67107
"California, San Mateo",314384,57929,237882
"California, Santa Barbara",176786,56365,107142
"California, Santa Clara",703709,144826,511684
"California, Santa Cruz",128821,22438,95249
"California, Shasta",80053,51778,22301
"California, Sierra",1830,1048,601
"California, Siskiyou",20492,11341,7234
"California, Solano",166113,51920,102360
"California, Sonoma",231253,51408,160435
"California, Stanislaus",172146,78494,81647
"California, Sutter",33523,18176,13076
"California, Tehama",23908,15494,6809
"California, Trinity",5686,2812,2214
"California, Tulare",112334,58299,47585
"California, Tuolumne",25529,14551,9123
"California, Ventura",351726,132323,194402
"California, Yolo",82090,20739,54752
"California, Yuba",22998,13170,7910
"Colorado, Adams",193665,80082,96558
"Colorado, Alamosa",6939,3046,3189
"Colorado, Arapahoe",303046,117053,159885
"Colorado, Archuleta",7339,4264,2500
"Colorado, Baca",2153,1753,283
"Colorado, Bent",1927,1188,590
"Colorado, Boulder",188142,41396,132334
"Colorado, Broomfield",37689,14367,19731
"Colorado, Chaffee",11250,5391,4888
"Colorado, Cheyenne",1102,925,132
"Colorado, Clear Creek",5866,2575,2729
"Colorado, Conejos",4022,1914,1771
"Colorado, Costilla",1848,588,1125
"Colorado, Crowley",1527,1079,339
"Colorado, Custer",3066,2061,797
"Colorado, Delta",16790,11655,4087
"Colorado, Denver",331852,62690,244551
"Colorado, Dolores",1255,944,242
"Colorado, Douglas",187499,102573,68657
"Colorado, Eagle",25223,8990,14099
"Colorado, El Paso",318967,179228,108010
"Colorado, Elbert",15978,11705,3134
"Colorado, Fremont",21973,15122,5297
"Colorado, Garfield",26470,13132,11271
"Colorado, Gilpin",3576,1566,1634
"Colorado, Grand",8588,4494,3358
"Colorado, Gunnison",9412,3289,5128
"Colorado, Hinsdale",589,339,197
"Colorado, Huerfano",3783,1883,1633
"Colorado, Jackson",861,629,171
"Colorado, Jefferson",328882,138177,160776
"Colorado, Kiowa",855,728,91
"Colorado, Kit Carson",3702,2967,536
"Colorado, La Plata",31150,12587,15525
"Colorado, Lake",3199,1270,1616
"Colorado, Larimer",195980,83430,93113
"Colorado, Las Animas",6793,3710,2650
"Colorado, Lincoln",2436,1892,409
"Colorado, Logan",9722,7282,1851
"Colorado, Mesa",77653,49779,21729
"Colorado, Mineral",652,344,237
"Colorado, Moffat",6525,5305,874
"Colorado, Montezuma",12858,7853,3973
"Colorado, Montrose",21186,14382,5466
"Colorado, Morgan",11960,8145,3151
"Colorado, Otero",8452,4928,2943
"Colorado, Ouray",3310,1351,1697
"Colorado, Park",10417,6135,3421
"Colorado, Phillips",2332,1791,436
"Colorado, Pitkin",10523,2550,7333
"Colorado, Prowers",5016,3531,1186
"Colorado, Pueblo",78646,36265,35875
"Colorado, Rio Blanco",3450,2791,436
"Colorado, Rio Grande",5534,3085,2001
"Colorado, Routt",13986,5230,7600
"Colorado, Saguache",2835,1147,1417
"Colorado, San Juan",506,215,265
"Colorado, San Miguel",4329,1033,2975
"Colorado, Sedgwick",1364,1015,267
"Colorado, Summit",16174,5100,9557
"Colorado, Teller",14444,9745,3603
"Colorado, Washington",2733,2299,296
"Colorado, Weld",135428,76651,46519
"Colorado, Yuma",4791,3850,726
"Connecticut, Fairfield",421209,160077,243852
"Connecticut, Hartford",406864,148173,240403
"Connecticut, Litchfield",97442,53051,39775
"Connecticut, Middlesex",88624,38867,45357
"Connecticut, New Haven",379006,159048,205609
"Connecticut, New London",123528,54058,62278
"Connecticut, Tolland",77424,34194,38506
"Connecticut, Windham",50823,25747,21792
"Delaware, Kent",74598,36991,33351
"Delaware, New Castle",262391,85525,162919
"Delaware, Sussex",106008,62611,39333
"District of Columbia, District of Columbia",311268,12723,282830
"Florida, Alachua",128571,46834,75820
"Florida, Baker",12634,10294,2112
"Florida, Bay",87453,62194,21797
"Florida, Bradford",12098,8913,2924
"Florida, Brevard",314752,181848,119679
"Florida, Broward",831951,260951,553320
