Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes
"Indiana, Jefferson",13544,8546,4326
"Indiana, Jennings",11150,8224,2364
"Indiana, Johnson",66500,45456,17318
"Indiana, Knox",15516,11077,3772
"Indiana, Kosciusko",32084,23935,6313
"Indiana, LaGrange",9566,7025,2080
"Indiana, LaPorte",45203,22687,19798
"Indiana, Lake",201205,75625,116935
"Indiana, Lawrence",19152,14035,4210
"Indiana, Madison",53909,32376,18595
"Indiana, Marion",362372,130360,212899
"Indiana, Marshall",18082,12288,4798
"Indiana, Martin",4809,3697,881
"Indiana, Miami",13482,9975,2766
"Indiana, Monroe",58454,20592,34216
"Indiana, Montgomery",15156,11059,3362
"Indiana, Morgan",31280,23674,6040
"Indiana, Newton",5795,4077,1404
"Indiana, Noble",16890,12198,3904
"Indiana, Ohio",2921,2118,686
"Indiana, Orange",8192,5803,2048
"Indiana, Owen",8557,6153,1946
"Indiana, Parke",6582,4863,1441
"Indiana, Perry",8055,4556,3062
"Indiana, Pike",5977,4398,1297
"Indiana, Porter",77190,38832,33676
"Indiana, Posey",12467,8404,3521
"Indiana, Pulaski",5459,3854,1327
"Indiana, Putnam",14715,10637,3356
"Indiana, Randolph",10458,7517,2446
"Indiana, Ripley",12810,9806,2471
"Indiana, Rush",7214,5292,1525
"Indiana, Scott",9101,6074,2642
"Indiana, Shelby",17994,12718,4247
"Indiana, Spencer",9979,6572,2861
"Indiana, St. Joseph",110060,52021,52252
"Indiana, Starke",9226,6367,2489
"Indiana, Steuben",14566,10133,3744
"Indiana, Sullivan",8559,6138,2113
"Indiana, Switzerland",3699,2558,930
"Indiana, Tippecanoe",62515,30768,27282
"Indiana, Tipton",7510,5589,1587
"Indiana, Union",3291,2445,715
"Indiana, Vanderburgh",72507,40496,28530
"Indiana, Vermillion",6939,4513,2081
"Indiana, Vigo",39818,21937,15931
"Indiana, Wabash",13468,9821,3018
"Indiana, Warren",3930,2898,839
"Indiana, Warrick",29589,19113,9086
"Indiana, Washington",11382,8209,2636
"Indiana, Wayne",25579,16028,8322
"Indiana, Wells",13185,10005,2586
"Indiana, White",10053,6893,2590
"Indiana, Whitley",15623,11358,3379
"Iowa, Adair",3811,2461,1133
"Iowa, Adams",2106,1395,565
"Iowa, Allamakee",6923,4093,2421
"Iowa, Appanoose",6136,4033,1814
"Iowa, Audubon",3412,2136,1080
"Iowa, Benton",13844,8232,4678
"Iowa, Black Hawk",64405,27476,32233
"Iowa, Boone",14196,7484,5541
"Iowa, Bremer",13538,7208,5356
"Iowa, Buchanan",10252,5510,3970
"Iowa, Buena Vista",8278,4903,2856
"Iowa, Butler",7513,4921,2157
"Iowa, Calhoun",5159,3468,1398
"Iowa, Carroll",10544,6638,3309
"Iowa, Cass",7125,4761,1951
"Iowa, Cedar",9541,5295,3599
"Iowa, Cerro Gordo",22965,11621,9862
"Iowa, Cherokee",6258,4192,1679
"Iowa, Chickasaw",6435,3742,2266
"Iowa, Clarke",4454,2713,1465
"Iowa, Clay",8617,5877,2249
"Iowa, Clayton",9129,5317,3237
"Iowa, Clinton",23067,11276,10095
"Iowa, Crawford",6935,4617,1991
"Iowa, Dallas",38252,19339,15701
"Iowa, Davis",3882,2723,977
"Iowa, Decatur",3734,2296,1201
"Iowa, Delaware",9241,5694,2957
"Iowa, Des Moines",19103,9529,8212
"Iowa, Dickinson",10354,6753,3056
"Iowa, Dubuque",49721,23460,22850
"Iowa, Emmet",4753,3124,1357
"Iowa, Fayette",9975,5620,3689
"Iowa, Floyd",8060,4375,3179
"Iowa, Franklin",4968,3163,1493
"Iowa, Fremont",3595,2407,963
"Iowa, Greene",4821,2820,1691
"Iowa, Grundy",6872,4527,1856
"Iowa, Guthrie",5750,3628,1732
"Iowa, Hamilton",7694,4463,2726
"Iowa, Hancock",5871,3977,1587
"Iowa, Hardin",8533,5254,2787
"Iowa, Harrison",7465,4902,2131
"Iowa, Henry",9404,5779,2904
"Iowa, Howard",4559,2611,1677
"Iowa, Humboldt",5087,3568,1252
"Iowa, Ida",3612,2655,792
"Iowa, Iowa",8904,5205,3084
"Iowa, Jackson",10310,5824,3837
"Iowa, Jasper",19034,10560,7109
"Iowa, Jefferson",8156,3748,3710
"Iowa, Johnson",76940,21044,50200
"Iowa, Jones",10133,5720,3787
"Iowa, Keokuk",4985,3390,1342
"Iowa, Kossuth",8607,5653,2543
"Iowa, Lee",16151,8803,6215
"Iowa, Linn",117098,48390,58935
"Iowa, Louisa",5008,3069,1648
"Iowa, Lucas",4354,2877,1239
"Iowa, Lyon",6377,5192,920
"Iowa, Madison",8636,5360,2678
"Iowa, Mahaska",10632,7432,2619
"Iowa, Marion",17816,10962,5482
"Iowa, Marshall",17980,9146,7652
"Iowa, Mills",7698,5067,2090
"Iowa, Mitchell",5417,3190,1888
"Iowa, Monona",4572,3120,1247
"Iowa, Monroe",3865,2638,1056
"Iowa, Montgomery",5044,3436,1314
"Iowa, Muscatine",19434,9584,8368
"Iowa, O'Brien",7406,5752,1315
"Iowa, Osceola",3213,2531,552
"Iowa, Page",7044,4893,1807
"Iowa, Palo Alto",4703,3081,1398
"Iowa, Plymouth",13190,9680,2885
"Iowa, Pocahontas",3865,2702,963
"Iowa, Polk",231555,93492,119804
"Iowa, Pottawattamie",42680,24447,15355
"Iowa, Poweshiek",9833,4946,4304
"Iowa, Ringgold",2707,1824,753
"Iowa, Sac",5212,3703,1270
"Iowa, Scott",86220,39149,40440
"Iowa, Shelby",6370,4362,1662
"Iowa, Sioux",18194,14785,2300
"Iowa, Story",50667,19458,25709
"Iowa, Tama",8752,4971,3196
"Iowa, Taylor",3029,2111,758
"Iowa, Union",5832,3525,1922
"Iowa, Van Buren",3561,2527,845
"Iowa, Wapello",15149,8715,5594
"Iowa, Warren",27300,14814,10411
"Iowa, Washington",10929,6173,3943
"Iowa, Wayne",2940,2069,719
"Iowa, Webster",17430,10056,6305
"Iowa, Winnebago",5787,3447,1931
"Iowa, Winneshiek",11362,5344,5254
"Iowa, Woodbury",43718,24727,16210
"Iowa, Worth",4257,2453,1530
"Iowa, Wright",6026,3800,1896
"Kansas, Allen",5454,3651,1433
"Kansas, Anderson",3350,2435,672
"Kansas, Atchison",6575,4049,1989
"Kansas, Barber",2252,1850,286
"Kansas, Barton",10269,7888,1839
"Kansas, Bourbon",6093,4424,1336
"Kansas, Brown",4036,2906,863
"Kansas, Butler",27657,19073,6573
"Kansas, Chase",1369,969,316
"Kansas, Chautauqua",1481,1236,197
"Kansas, Cherokee",8620,6182,2005
"Kansas, Cheyenne",1407,1173,181
"Kansas, Clark",1005,825,120
"Kansas, Clay",3820,2891,677
"Kansas, Cloud",3930,2919,761
"Kansas, Coffey",4068,3050,727
"Kansas, Comanche",867,715,102
"Kansas, Cowley",12621,8270,3551
"Kansas, Crawford",14891,8624,5199
"Kansas, Decatur",1452,1210,178
"Kansas, Dickinson",8210,6029,1609
"Kansas, Doniphan",3378,2606,587
"Kansas, Douglas",50087,14688,31195
"Kansas, Edwards",1319,1037,212
"Kansas, Elk",1259,1048,160
"Kansas, Ellis",11947,8466,2742
"Kansas, Ellsworth",2679,1969,521
"Kansas, Finney",10159,6350,3195
"Kansas, Ford",7718,5114,2149
"Kansas, Franklin",10965,7185,2892
"Kansas, Geary",7504,4274,2722
"Kansas, Gove",1343,1140,149
"Kansas, Graham",1284,1025,188
"Kansas, Grant",2389,1804,441
"Kansas, Gray",2066,1698,263
"Kansas, Greeley",650,534,83
"Kansas, Greenwood",2840,2160,485
"Kansas, Hamilton",876,705,121
"Kansas, Harper",2578,1996,393
"Kansas, Harvey",14916,8668,5068
"Kansas, Haskell",1354,1040,245
"Kansas, Hodgeman",1017,855,124
"Kansas, Jackson",5818,3939,1512
"Kansas, Jefferson",8337,5213,2518
"Kansas, Jewell",1494,1223,180
"Kansas, Johnson",290090,137490,129852
"Kansas, Kearny",1316,1075,174
"Kansas, Kingman",3334,2530,599
"Kansas, Kiowa",1079,900,114
"Kansas, Labette",8107,5335,2291
"Kansas, Lane",871,718,106
"Kansas, Leavenworth",30301,17638,10209
"Kansas, Lincoln",1464,1179,215
"Kansas, Linn",4427,3484,736
"Kansas, Logan",1357,1132,149
"Kansas, Lyon",12288,6552,4649
"Kansas, Marion",5624,4003,1204
"Kansas, Marshall",4673,3307,1072
"Kansas, McPherson",12742,8549,3226
"Kansas, Meade",1720,1415,210
"Kansas, Miami",15022,10003,3991
"Kansas, Mitchell",2942,2308,477
"Kansas, Montgomery",12004,8679,2637
"Kansas, Morris",2624,1820,601
"Kansas, Morton",1192,995,147
"Kansas, Nemaha",5122,4124,725
"Kansas, Neosho",6314,4431,1501
"Kansas, Ness",1454,1228,162
"Kansas, Norton",2234,1840,281
"Kansas, Osage",7046,4826,1753
"Kansas, Osborne",1788,1460,233
"Kansas, Ottawa",2903,2283,424
"Kansas, Pawnee",2661,1904,579
"Kansas, Phillips",2664,2233,300
"Kansas, Pottawatomie",10693,7612,2225
"Kansas, Pratt",3842,2838,771
"Kansas, Rawlins",1472,1220,163
"Kansas, Reno",24210,15513,6837
"Kansas, Republic",2529,2024,375
"Kansas, Rice",3804,2837,695
"Kansas, Riley",21532,10107,9341
"Kansas, Rooks",2419,2031,275
"Kansas, Rush",1503,1197,233
"Kansas, Russell",3193,2574,461
"Kansas, Saline",22064,13828,6317
"Kansas, Scott",2202,1865,236
"Kansas, Sedgwick",188783,104353,69627
"Kansas, Seward",5038,3159,1628
"Kansas, Shawnee",75406,35934,33926
"Kansas, Sheridan",1374,1197,127
"Kansas, Sherman",2612,2089,347
"Kansas, Smith",2042,1661,297
"Kansas, Stafford",1896,1490,304
"Kansas, Stanton",637,492,115
"Kansas, Stevens",1891,1599,220
"Kansas, Sumner",9722,6984,2076
"Kansas, Thomas",3576,2908,473
"Kansas, Trego",1482,1227,198
"Kansas, Wabaunsee",3380,2372,776
"Kansas, Wallace",798,721,46
"Kansas, Washington",2765,2194,387
"Kansas, Wichita",956,769,140
"Kansas, Wilson",3591,2788,594
"Kansas, Woodson",1443,1082,273
"Kansas, Wyandotte",48781,15806,30146
"Kentucky, Adair",8233,6637,1323
"Kentucky, Allen",8096,6466,1349
"Kentucky, Anderson",11422,8242,2634
"Kentucky, Ballard",4101,3161,816
"Kentucky, Barren",18488,13483,4275
"Kentucky, Bath",4587,3082,1361
"Kentucky, Bell",9718,7764,1720
"Kentucky, Boone",57618,39082,15026
"Kentucky, Bourbon",8803,5569,2791
"Kentucky, Boyd",20454,13591,6021
"Kentucky, Boyle",12946,8040,4281
"Kentucky, Bracken",3527,2711,705
"Kentucky, Breathitt",5738,3991,1537
"Kentucky, Breckinridge",8774,6484,1960
"Kentucky, Bullitt",36069,26210,8255
"Kentucky, Butler",5576,4428,947
"Kentucky, Caldwell",5975,4507,1260
"Kentucky, Calloway",16049,10367,4749
"Kentucky, Campbell",42510,25050,14658
"Kentucky, Carlisle",2601,2094,432
"Kentucky, Carroll",3855,2588,1106
"Kentucky, Carter",10278,7587,2276
"Kentucky, Casey",6439,5482,767
"Kentucky, Christian",22083,14108,7188
"Kentucky, Clark",16205,10710,4706
"Kentucky, Clay",6767,5861,752
"Kentucky, Clinton",4462,3809,547
"Kentucky, Crittenden",4037,3290,617
"Kentucky, Cumberland",3066,2502,459
"Kentucky, Daviess",45807,28907,14163
"Kentucky, Edmonson",5244,4135,979
"Kentucky, Elliott",2855,2000,740
"Kentucky, Estill",5545,4236,1108
"Kentucky, Fayette",136315,56894,69778
"Kentucky, Fleming",6260,4722,1348
"Kentucky, Floyd",16540,11993,4015
"Kentucky, Franklin",23865,11819,10717
"Kentucky, Fulton",2382,1549,774
"Kentucky, Gallatin",3338,2443,749
"Kentucky, Garrard",7623,5904,1453
"Kentucky, Grant",9559,7268,1910
"Kentucky, Graves",16606,12671,3308
"Kentucky, Grayson",10576,8219,1959
"Kentucky, Green",5333,4372,832
"Kentucky, Greenup",16277,11546,4146
"Kentucky, Hancock",4295,2788,1244
"Kentucky, Hardin",43156,26971,13944
"Kentucky, Harlan",10757,9129,1372
"Kentucky, Harrison",7781,5435,2031
"Kentucky, Hart",7264,5320,1730
"Kentucky, Henderson",19710,12159,6707
"Kentucky, Henry",7149,4944,1828
"Kentucky, Hickman",2157,1657,449
"Kentucky, Hopkins",20345,15277,4310
"Kentucky, Jackson",5501,4889,482
"Kentucky, Jefferson",353099,143768,190836
"Kentucky, Jessamine",23326,15474,6144
"Kentucky, Johnson",9572,8043,1250
"Kentucky, Kenton",71998,42958,24214
"Kentucky, Knott",5763,4357,1245
"Kentucky, Knox",12012,9885,1761
"Kentucky, Larue",6367,4799,1278
"Kentucky, Laurel",24833,20592,3440
"Kentucky, Lawrence",6042,4816,1045
"Kentucky, Lee",2667,2151,444
"Kentucky, Leslie",4492,4015,400
"Kentucky, Letcher",9134,7293,1542
"Kentucky, Lewis",5298,4363,785
"Kentucky, Lincoln",9561,7338,1865
"Kentucky, Livingston",4645,3570,887
"Kentucky, Logan",10899,7778,2755
"Kentucky, Lyon",3962,2789,1045
"Kentucky, Madison",37371,23431,11793
"Kentucky, Magoffin",5116,3824,1172
"Kentucky, Marion",8111,5122,2679
"Kentucky, Marshall",16698,12322,3672
"Kentucky, Martin",3953,3503,363
"Kentucky, Mason",7219,4944,1970
"Kentucky, McCracken",31307,20774,9134
"Kentucky, McCreary",5776,5012,664
"Kentucky, McLean",4566,3381,988
"Kentucky, Meade",12231,8660,3026
"Kentucky, Menifee",2779,2010,700
"Kentucky, Mercer",10585,7740,2395
"Kentucky, Metcalfe",4620,3491,976
"Kentucky, Monroe",4991,4278,601
"Kentucky, Montgomery",11452,7856,3158
"Kentucky, Morgan",4775,3628,1006
"Kentucky, Muhlenberg",13060,9393,3272
"Kentucky, Nelson",20802,13431,6434
"Kentucky, Nicholas",2841,1957,787
"Kentucky, Ohio",10398,7942,2080
"Kentucky, Oldham",32853,20469,10268
"Kentucky, Owen",5001,3745,1062
"Kentucky, Owsley",1759,1474,256
"Kentucky, Pendleton",6007,4604,1164
"Kentucky, Perry",10572,8158,2136
"Kentucky, Pike",24665,19747,4280
"Kentucky, Powell",4957,3513,1272
"Kentucky, Pulaski",28041,22902,4208
"Kentucky, Robertson",1013,759,222
"Kentucky, Rockcastle",6691,5609,915
"Kentucky, Rowan",8848,5174,3295
"Kentucky, Russell",8174,6863,1093
"Kentucky, Scott",24200,15052,7715
"Kentucky, Shelby",20580,13196,6276
"Kentucky, Simpson",7531,5077,2144
"Kentucky, Spencer",9515,7196,1921
"Kentucky, Taylor",11306,8320,2553
"Kentucky, Todd",4779,3612,1042
"Kentucky, Trigg",6751,4931,1587
"Kentucky, Trimble",3798,2771,879
"Kentucky, Union",6211,4701,1331
"Kentucky, Warren",48454,28673,16966
"Kentucky, Washington",5636,4013,1420
"Kentucky, Wayne",7992,6371,1431
"Kentucky, Webster",5805,4397,1240
"Kentucky, Whitley",13774,11312,2067
"Kentucky, Wolfe",2635,1804,753
"Kentucky, Woodford",13563,7697,4958
"Maine, Androscoggin",55601,28227,23009
"Maine, Aroostook",35097,19419,13386
"Maine, Cumberland",171818,57709,102981
"Maine, Franklin",16488,7918,7016
"Maine, Hancock",32130,13705,16117
"Maine, Kennebec",66208,31675,29302
"Maine, Knox",23147,9148,12443
"Maine, Lincoln",21503,9727,10241
"Maine, Oxford",31201,16210,12172
"Maine, Penobscot",80540,41622,32838
"Maine, Piscataquis",9182,5406,3098
"Maine, Sagadahoc",21616,9304,10664
"Maine, Somerset",26064,15001,9092
"Maine, Waldo",22707,10378,10440
"Maine, Washington",16365,9093,6075
"Maine, York",114274,50403,55844
"Maryland, Allegany",30654,21270,7875
"Maryland, Anne Arundel",270081,122403,128419
"Maryland, Baltimore",390682,149477,218412
"Maryland, Calvert",47408,26176,18225
"Maryland, Caroline",14113,9368,4009
"Maryland, Carroll",91848,58215,26567
"Maryland, Cecil",45269,28868,13650
"Maryland, Charles",78303,25614,49341
"Maryland, Dorchester",15225,8413,6245
"Maryland, Frederick",125677,59522,56522
"Maryland, Garrett",14011,10776,2567
"Maryland, Harford",133672,77860,47077
"Maryland, Howard",162193,47484,102597
"Maryland, Kent",10021,4876,4575
"Maryland, Montgomery",478873,92704,357837
"Maryland, Prince George's",390385,32811,344049
"Maryland, Queen Anne's",26523,16993,7973
"Maryland, Somerset",9900,5341,4196
"Maryland, St. Mary's",49842,28663,17534
"Maryland, Talbot",20553,10724,8653
"Maryland, Washington",65991,40998,21129
"Maryland, Wicomico",42547,22198,18050
"Maryland, Worcester",28273,17210,9753
"Massachusetts, Barnstable",133862,54099,72430
"Massachusetts, Berkshire",64803,16839,43714
"Massachusetts, Bristol",248959,105443,129540
"Massachusetts, Dukes",11502,2477,8400
"Massachusetts, Essex",379868,136316,222310
"Massachusetts, Franklin",38177,10364,24478
"Massachusetts, Hampden",203117,78685,112590
"Massachusetts, Hampshire",82956,21790,55367
"Massachusetts, Middlesex",784034,219793,520360
"Massachusetts, Nantucket",6406,1892,4146
"Massachusetts, Norfolk",361562,119723,221819
"Massachusetts, Plymouth",266863,115369,135513
"Massachusetts, Suffolk",308741,50421,245751
"Massachusetts, Worcester",383705,157682,198778
"Michigan, Alcona",6198,4201,1732
"Michigan, Alger",4518,2585,1663
"Michigan, Allegan",55786,34183,18050
"Michigan, Alpena",14698,9090,4877
"Michigan, Antrim",13582,8469,4448
"Michigan, Arenac",7696,4950,2384
"Michigan, Baraga",3490,2158,1156
"Michigan, Barry",30329,19202,9114
"Michigan, Bay",52977,28328,21642
"Michigan, Benzie",10228,5539,4108
"Michigan, Berrien",72031,38647,29495
"Michigan, Branch",17663,11786,5061
"Michigan, Calhoun",58902,31494,24157
"Michigan, Cass",22595,14243,7270
"Michigan, Charlevoix",14589,8674,5137
"Michigan, Cheboygan",13672,8683,4302
"Michigan, Chippewa",15456,9122,5379
"Michigan, Clare",13389,8505,4249
"Michigan, Clinton",40655,21636,16492
"Michigan, Crawford",6844,4354,2110
"Michigan, Delta",18492,11121,6436
"Michigan, Dickinson",13165,8580,3923
"Michigan, Eaton",56221,27609,24938
"Michigan, Emmet",18802,10616,6972
"Michigan, Genesee",196296,84175,102751
"Michigan, Gladwin",12472,8124,3794
"Michigan, Gogebic",7329,4018,2925
"Michigan, Grand Traverse",51589,27413,20965
"Michigan, Gratiot",16465,9880,5666
"Michigan, Hillsdale",19940,14095,4799
"Michigan, Houghton",15624,8475,6018
"Michigan, Huron",15917,10692,4579
"Michigan, Ingham",131138,43868,79110
"Michigan, Ionia",26854,16635,8352
"Michigan, Iosco",13361,8345,4345
"Michigan, Iron",5910,3675,2004
"Michigan, Isabella",25392,12338,11404
"Michigan, Jackson",69677,39793,25795
"Michigan, Kalamazoo",126299,51034,67148
"Michigan, Kalkaska",8833,6116,2280
"Michigan, Kent",308184,148180,138683
"Michigan, Keweenaw",1434,814,527
"Michigan, Lake",5328,3159,1939
"Michigan, Lapeer",45183,30037,12734
"Michigan, Leelanau",14757,7239,6774
"Michigan, Lenawee",45939,26430,16750
"Michigan, Livingston",105866,65680,34384
"Michigan, Luce",2579,1756,681
"Michigan, Mackinac",6097,3744,2085
"Michigan, Macomb",419312,224665,176317
"Michigan, Manistee",12599,6915,4979
"Michigan, Marquette",32976,14646,16042
"Michigan, Mason",14685,8505,5281
"Michigan, Mecosta",17168,10305,5827
"Michigan, Menominee",10768,6702,3539
"Michigan, Midland",42506,23846,15635
"Michigan, Missaukee",7317,5386,1565
"Michigan, Monroe",74218,43261,26863
"Michigan, Montcalm",26609,16907,7874
"Michigan, Montmorency",5009,3498,1287
"Michigan, Muskegon",78088,36127,37304
"Michigan, Newaygo",22640,15173,6212
"Michigan, Oakland",664614,289203,343070
"Michigan, Oceana",11930,7228,3973
"Michigan, Ogemaw",10387,6827,3030
"Michigan, Ontonagon",3426,2066,1176
"Michigan, Osceola",10609,7336,2705
"Michigan, Oscoda",4073,2843,1044
"Michigan, Otsego",12538,8266,3556
"Michigan, Ottawa",142734,88467,44973
"Michigan, Presque Isle",7218,4488,2400
"Michigan, Roscommon",13041,8141,4287
"Michigan, Saginaw",94320,45469,44396
"Michigan, Sanilac",19249,13446,4873
"Michigan, Schoolcraft",4154,2556,1369
"Michigan, Shiawassee",34111,19230,12546
"Michigan, St. Clair",78003,49051,24553
"Michigan, St. Joseph",23757,14884,7526
"Michigan, Tuscola",25796,17102,7429
"Michigan, Van Buren",33274,17890,13258
"Michigan, Washtenaw",188578,50631,128483
"Michigan, Wayne",777838,228993,519444
"Michigan, Wexford",15298,10000,4436
"Minnesota, Aitkin",9231,5516,3134
"Minnesota, Anoka",185758,93339,75500
"Minnesota, Becker",17222,10880,5208
"Minnesota, Beltrami",21564,10783,8688
"Minnesota, Benton",20058,12872,5640
"Minnesota, Big Stone",2755,1608,921
"Minnesota, Blue Earth",33593,15667,14428
"Minnesota, Brown",13779,8708,3763
"Minnesota, Carlton",18211,8160,8460
"Minnesota, Carver",55696,29056,21508
"Minnesota, Cass",15999,9982,4949
"Minnesota, Chippewa",6222,3764,1978
"Minnesota, Chisago",30228,18441,9278
"Minnesota, Clay",29398,13543,12971
"Minnesota, Clearwater",4245,2925,1100
"Minnesota, Cook",3395,1156,1912
"Minnesota, Cottonwood",5721,3679,1678
"Minnesota, Crow Wing",35842,22287,10982
"Minnesota, Dakota",231440,99583,110483
"Minnesota, Dodge",10654,6527,3102
"Minnesota, Douglas",21785,13966,6227
"Minnesota, Faribault",7412,4659,2153
"Minnesota, Fillmore",11055,6271,3872
"Minnesota, Freeborn",16051,8808,6041
"Minnesota, Goodhue",25717,14041,9446
"Minnesota, Grant",3473,2063,1105
"Minnesota, Hennepin",679977,191770,429288
"Minnesota, Houston",10604,5616,4145
"Minnesota, Hubbard",11505,7261,3423
"Minnesota, Isanti",21016,13635,5657
"Minnesota, Itasca",23880,12920,9015
"Minnesota, Jackson",5484,3609,1492
"Minnesota, Kanabec",8177,5230,2327
"Minnesota, Kandiyohi",21772,12785,7266
"Minnesota, Kittson",2385,1349,823
"Minnesota, Koochiching",6363,3569,2306
"Minnesota, Lake",6521,2932,3077
"Minnesota, Lake of the Woods",2242,1540,553
"Minnesota, Le Sueur",14971,9182,4623
"Minnesota, Lincoln",3019,1931,860
"Minnesota, Lyon",12215,7256,3825
"Minnesota, Mahnomen",2088,991,930
"Minnesota, Marshall",4817,3208,1225
"Minnesota, Martin",10531,7062,2733
"Minnesota, McLeod",18807,12155,4978
"Minnesota, Meeker",12282,8104,3191
"Minnesota, Mille Lacs",13017,8340,3710
"Minnesota, Morrison",17614,12925,3637
"Minnesota, Mower",17715,8823,7437
"Minnesota, Murray",4668,2974,1295
"Minnesota, Nicollet",18097,8437,7886
"Minnesota, Nobles",8632,5299,2733
"Minnesota, Norman",3261,1699,1264
"Minnesota, Olmsted",80129,35668,36268
"Minnesota, Otter Tail",32500,20939,9340
"Minnesota, Pennington",6715,4000,2147
"Minnesota, Pine",13811,8191,4580
"Minnesota, Pipestone",4808,3338,1127
"Minnesota, Polk",14796,8979,4712
"Minnesota, Pope",6319,3793,2106
"Minnesota, Ramsey",273143,70894,177738
"Minnesota, Red Lake",1881,1141,540
"Minnesota, Redwood",7611,5137,1887
"Minnesota, Renville",7606,4890,2117
"Minnesota, Rice",32443,15429,14437
"Minnesota, Rock",4839,3091,1373
"Minnesota, Roseau",7804,5451,1856
"Minnesota, Scott",75029,39948,28502
"Minnesota, Sherburne",48283,31053,13293
"Minnesota, Sibley",7774,5193,1954
"Minnesota, Stearns",79592,47617,25576
"Minnesota, Steele",19179,11198,6241
"Minnesota, Stevens",5398,2799,2116
"Minnesota, Swift",4994,2963,1686
"Minnesota, Todd",11993,8485,2783
"Minnesota, Traverse",1798,1049,630
"Minnesota, Wabasha",11832,6989,3866
"Minnesota, Wadena",6934,4837,1684
"Minnesota, Waseca",9653,5967,2838
"Minnesota, Washington",144235,64428,67086
"Minnesota, Watonwan",4998,2768,1814
"Minnesota, Wilkin",3302,2129,893
"Minnesota, Winona",26074,12122,11366
"Minnesota, Wright",69618,43274,20334
"Minnesota, Yellow Medicine",5276,3382,1524
"Mississippi, Adams",13836,5874,7757
"Mississippi, Alcorn",14783,11819,2684
"Mississippi, Amite",7050,4289,2697
"Mississippi, Attala",8256,4897,3242
"Mississippi, Benton",4013,2251,1719
"Mississippi, Bolivar",13824,4590,9046
"Mississippi, Calhoun",6396,4390,1910
"Mississippi, Carroll",5528,3799,1680
"Mississippi, Chickasaw",7890,4127,3649
"Mississippi, Choctaw",4065,2788,1218
"Mississippi, Claiborne",4272,540,3708
"Mississippi, Clarke",7791,5137,2585
"Mississippi, Clay",10003,4150,5722
"Mississippi, Coahoma",8912,2426,6378
"Mississippi, Copiah",12982,6103,6741
"Mississippi, Covington",8811,5435,3276
"Mississippi, DeSoto",65695,43089,20591
"Mississippi, Forrest",28064,15461,11716
"Mississippi, Franklin",4290,2721,1502
"Mississippi, George",9891,8696,1027
"Mississippi, Greene",5369,4335,974
"Mississippi, Grenada",10513,5970,4424
"Mississippi, Hancock",17637,13811,3344
"Mississippi, Harrison",63313,40354,21169
"Mississippi, Hinds",94681,25275,67594
"Mississippi, Holmes",8076,1309,6689
"Mississippi, Humphreys",4253,1151,3071
"Mississippi, Issaquena",699,298,395
"Mississippi, Itawamba",9737,8470,1117
"Mississippi, Jackson",49567,33629,14657
"Mississippi, Jasper",8475,4038,4368
"Mississippi, Jefferson",3860,490,3337
"Mississippi, Jefferson Davis",6237,2466,3720
"Mississippi, Jones",28352,20133,7791
"Mississippi, Kemper",4639,1778,2827
"Mississippi, Lafayette",19643,10872,7969
"Mississippi, Lamar",24592,18751,5190
"Mississippi, Lauderdale",29506,17741,11269
"Mississippi, Lawrence",6364,4091,2195
"Mississippi, Leake",8449,4782,3584
"Mississippi, Lee",32913,22220,10029
"Mississippi, Leflore",11140,3212,7787
"Mississippi, Lincoln",15193,10550,4458
"Mississippi, Lowndes",25575,13271,11819
"Mississippi, Madison",49802,28265,20343
"Mississippi, Marion",11693,7836,3677
"Mississippi, Marshall",14839,6587,8023
"Mississippi, Monroe",15884,10167,5524
"Mississippi, Montgomery",4996,2818,2115
"Mississippi, Neshoba",10553,7679,2715
"Mississippi, Newton",9438,6548,2756
"Mississippi, Noxubee",5574,1200,4347
"Mississippi, Oktibbeha",18124,8576,8859
"Mississippi, Panola",15064,7449,7431
"Mississippi, Pearl River",21883,17782,3604
"Mississippi, Perry",5432,4135,1220
"Mississippi, Pike",16310,8009,8043
"Mississippi, Pontotoc",12984,10336,2386
"Mississippi, Prentiss",9872,7648,2067
"Mississippi, Quitman",3365,1001,2312
"Mississippi, Rankin",62768,47178,14110
"Mississippi, Scott",10522,6122,4268
"Mississippi, Sharkey",2190,692,1479
"Mississippi, Simpson",11419,7393,3874
"Mississippi, Smith",7627,5928,1617
"Mississippi, Stone",7045,5306,1573
"Mississippi, Sunflower",9598,2794,6725
"Mississippi, Tallahatchie",5870,2462,3337
"Mississippi, Tate",11627,7495,3926
"Mississippi, Tippah",9235,7240,1842
"Mississippi, Tishomingo",8371,7166,999
"Mississippi, Tunica",3567,853,2667
"Mississippi, Union",11496,9235,2012
"Mississippi, Walthall",6919,4056,2790
"Mississippi, Warren",19416,9767,9284
"Mississippi, Washington",16825,5244,11380
"Mississippi, Wayne",9599,5990,3524
"Mississippi, Webster",5069,3976,1019
"Mississippi, Wilkinson",4218,1318,2857
"Mississippi, Winston",8881,4910,3850
"Mississippi, Yalobusha",6077,3376,2582
"Mississippi, Yazoo",10070,4598,5369
"Missouri, Adair",10226,6030,3500
"Missouri, Andrew",9140,6665,2045
"Missouri, Atchison",2724,2060,541
"Missouri, Audrain",10061,6981,2570
"Missouri, Barry",14605,11428,2710
"Missouri, Barton",5939,4959,795
