year,state,state_code,county,candidate,party,candidate_votes,total_votes
2008,Alabama,AL,Autauga,Barack Obama,democrat,6093.0,23641
2008,Alabama,AL,Autauga,John McCain,republican,17403.0,23641
2008,Alabama,AL,Baldwin,Barack Obama,democrat,19386.0,81413
2008,Alabama,AL,Baldwin,John McCain,republican,61271.0,81413
2008,Alabama,AL,Barbour,Barack Obama,democrat,5697.0,11630
2008,Alabama,AL,Barbour,John McCain,republican,5866.0,11630
2008,Alabama,AL,Bibb,Barack Obama,democrat,2299.0,8644
2008,Alabama,AL,Bibb,John McCain,republican,6262.0,8644
2008,Alabama,AL,Blount,Barack Obama,democrat,3522.0,24267
2008,Alabama,AL,Blount,John McCain,republican,20389.0,24267
2008,Alabama,AL,Bullock,Barack Obama,democrat,4011.0,5415
2008,Alabama,AL,Bullock,John McCain,republican,1391.0,5415
2008,Alabama,AL,Butler,Barack Obama,democrat,4188.0,9709
2008,Alabama,AL,Butler,John McCain,republican,5485.0,9709
2008,Alabama,AL,Calhoun,Barack Obama,democrat,16334.0,49242
2008,Alabama,AL,Calhoun,John McCain,republican,32348.0,49242
2008,Alabama,AL,Chambers,Barack Obama,democrat,6799.0,14956
2008,Alabama,AL,Chambers,John McCain,republican,8067.0,14956
2008,Alabama,AL,Cherokee,Barack Obama,democrat,2306.0,9745
2008,Alabama,AL,Cherokee,John McCain,republican,7298.0,9745
2008,Alabama,AL,Chilton,Barack Obama,democrat,3674.0,17785
2008,Alabama,AL,Chilton,John McCain,republican,13960.0,17785
2008,Alabama,AL,Choctaw,Barack Obama,democrat,3636.0,7894
2008,Alabama,AL,Choctaw,John McCain,republican,4223.0,7894
2008,Alabama,AL,Clarke,Barack Obama,democrat,5914.0,13435
2008,Alabama,AL,Clarke,John McCain,republican,7466.0,13435
2008,Alabama,AL,Clay,Barack Obama,democrat,1760.0,6819
2008,Alabama,AL,Clay,John McCain,republican,4984.0,6819
2008,Alabama,AL,Cleburne,Barack Obama,democrat,1168.0,6492
2008,Alabama,AL,Cleburne,John McCain,republican,5216.0,6492
2008,Alabama,AL,Coffee,Barack Obama,democrat,5079.0,20128
2008,Alabama,AL,Coffee,John McCain,republican,14919.0,20128
2008,Alabama,AL,Colbert,Barack Obama,democrat,9703.0,24843
2008,Alabama,AL,Colbert,John McCain,republican,14739.0,24843
2008,Alabama,AL,Conecuh,Barack Obama,democrat,3429.0,6943
2008,Alabama,AL,Conecuh,John McCain,republican,3470.0,6943
2008,Alabama,AL,Coosa,Barack Obama,democrat,2273.0,5563
2008,Alabama,AL,Coosa,John McCain,republican,3248.0,5563
2008,Alabama,AL,Covington,Barack Obama,democrat,3240.0,15787
2008,Alabama,AL,Covington,John McCain,republican,12444.0,15787
2008,Alabama,AL,Crenshaw,Barack Obama,democrat,1938.0,6291
2008,Alabama,AL,Crenshaw,John McCain,republican,4319.0,6291
2008,Alabama,AL,Cullman,Barack Obama,democrat,5864.0,35305
2008,Alabama,AL,Cullman,John McCain,republican,28896.0,35305
2008,Alabama,AL,Dale,Barack Obama,democrat,5270.0,19320
2008,Alabama,AL,Dale,John McCain,republican,13886.0,19320
2008,Alabama,AL,Dallas,Barack Obama,democrat,13986.0,20852
2008,Alabama,AL,Dallas,John McCain,republican,6798.0,20852
2008,Alabama,AL,DeKalb,Barack Obama,democrat,5658.0,24015
2008,Alabama,AL,DeKalb,John McCain,republican,17957.0,24015
2008,Alabama,AL,Elmore,Barack Obama,democrat,8301.0,34315
2008,Alabama,AL,Elmore,John McCain,republican,25777.0,34315
2008,Alabama,AL,Escambia,Barack Obama,democrat,5188.0,14674
2008,Alabama,AL,Escambia,John McCain,republican,9375.0,14674
2008,Alabama,AL,Etowah,Barack Obama,democrat,13497.0,44737
2008,Alabama,AL,Etowah,John McCain,republican,30595.0,44737
2008,Alabama,AL,Fayette,Barack Obama,democrat,1994.0,7957
2008,Alabama,AL,Fayette,John McCain,republican,5883.0,7957
2008,Alabama,AL,Franklin,Barack Obama,democrat,3469.0,11693
2008,Alabama,AL,Franklin,John McCain,republican,8048.0,11693
2008,Alabama,AL,Geneva,Barack Obama,democrat,2134.0,11657
2008,Alabama,AL,Geneva,John McCain,republican,9417.0,11657
2008,Alabama,AL,Greene,Barack Obama,democrat,4408.0,5305
2008,Alabama,AL,Greene,John McCain,republican,876.0,5305
2008,Alabama,AL,Hale,Barack Obama,democrat,4982.0,8214
2008,Alabama,AL,Hale,John McCain,republican,3200.0,8214
2008,Alabama,AL,Henry,Barack Obama,democrat,3018.0,8648
2008,Alabama,AL,Henry,John McCain,republican,5585.0,8648
2008,Alabama,AL,Houston,Barack Obama,democrat,12225.0,41735
2008,Alabama,AL,Houston,John McCain,republican,29254.0,41735
2008,Alabama,AL,Jackson,Barack Obama,democrat,6374.0,20874
2008,Alabama,AL,Jackson,John McCain,republican,14083.0,20874
2008,Alabama,AL,Jefferson,Barack Obama,democrat,166121.0,318524
2008,Alabama,AL,Jefferson,John McCain,republican,149921.0,318524
2008,Alabama,AL,Lamar,Barack Obama,democrat,1614.0,7075
2008,Alabama,AL,Lamar,John McCain,republican,5419.0,7075
2008,Alabama,AL,Lauderdale,Barack Obama,democrat,13329.0,38104
2008,Alabama,AL,Lauderdale,John McCain,republican,24068.0,38104
2008,Alabama,AL,Lawrence,Barack Obama,democrat,5164.0,14680
2008,Alabama,AL,Lawrence,John McCain,republican,9277.0,14680
2008,Alabama,AL,Lee,Barack Obama,democrat,21498.0,54325
2008,Alabama,AL,Lee,John McCain,republican,32230.0,54325
2008,Alabama,AL,Limestone,Barack Obama,democrat,9536.0,33551
2008,Alabama,AL,Limestone,John McCain,republican,23598.0,33551
2008,Alabama,AL,Lowndes,Barack Obama,democrat,5449.0,7278
2008,Alabama,AL,Lowndes,John McCain,republican,1809.0,7278
2008,Alabama,AL,Macon,Barack Obama,democrat,9450.0,10877
2008,Alabama,AL,Macon,John McCain,republican,1396.0,10877
2008,Alabama,AL,Madison,Barack Obama,democrat,64117.0,152899
2008,Alabama,AL,Madison,John McCain,republican,86965.0,152899
2008,Alabama,AL,Marengo,Barack Obama,democrat,5926.0,11471
2008,Alabama,AL,Marengo,John McCain,republican,5516.0,11471
2008,Alabama,AL,Marion,Barack Obama,democrat,2600.0,12355
2008,Alabama,AL,Marion,John McCain,republican,9536.0,12355
2008,Alabama,AL,Marshall,Barack Obama,democrat,7038.0,33166
