Location,2012,total_votes,2012_democrat_votes,2012_republican_votes
"Wisconsin, Outagamie","179,003",94596,45659.0,47372.0
"Wisconsin, Ozaukee","87,111",55817,19159.0,36077.0
"Wisconsin, Pepin","7,373",3699,1876.0,1794.0
"Wisconsin, Pierce","40,725",21020,10235.0,10397.0
"Wisconsin, Polk","43,519",22573,10073.0,12094.0
"Wisconsin, Portage","70,425",39337,22075.0,16615.0
"Wisconsin, Price","13,845",7901,3887.0,3884.0
"Wisconsin, Racine","194,594",103364,53008.0,49347.0
"Wisconsin, Richland","17,816",8655,4969.0,3573.0
"Wisconsin, Rock","160,065",80690,49219.0,30517.0
"Wisconsin, Rusk","14,305",7191,3397.0,3676.0
"Wisconsin, St. Croix",,46225,19910.0,25503.0
"Wisconsin, Sauk","62,369",31927,18736.0,12838.0
"Wisconsin, Sawyer","16,515",9025,4486.0,4442.0
"Wisconsin, Shawano","41,509",20279,9000.0,11022.0
"Wisconsin, Sheboygan","114,767",62651,27918.0,34072.0
"Wisconsin, Taylor","20,371",9512,3763.0,5601.0
"Wisconsin, Trempealeau","29,289",13481,7605.0,5707.0
"Wisconsin, Vernon","30,021",14269,8044.0,5942.0
"Wisconsin, Vilas","21,315",13842,5951.0,7749.0
"Wisconsin, Walworth","102,871",52303,22552.0,29006.0
"Wisconsin, Washburn","15,847",9287,4447.0,4699.0
"Wisconsin, Washington","132,732",78742,23166.0,54765.0
"Wisconsin, Waukesha","392,810",243856,78779.0,162798.0
"Wisconsin, Waupaca","51,916",28840,11578.0,17002.0
"Wisconsin, Waushara","24,429",12048,5335.0,6562.0
"Wisconsin, Winnebago","168,525",89173,45449.0,42122.0
"Wisconsin, Wood","74,322",38900,18581.0,19704.0
"Wyoming, Albany","37,359",16300,7458.0,7866.0
"Wyoming, Big Horn","11,758",5324,868.0,4285.0
"Wyoming, Campbell","47,861",17571,2163.0,14953.0
"Wyoming, Carbon","15,709",6509,2110.0,4148.0
"Wyoming, Converse","14,028",6343,1089.0,5043.0
"Wyoming, Crook","7,139",3685,426.0,3109.0
"Wyoming, Fremont","41,015",16939,5333.0,11075.0
"Wyoming, Goshen","13,637",5806,1458.0,4178.0
"Wyoming, Hot Springs","4,829",2515,523.0,1895.0
"Wyoming, Johnson","8,641",4259,749.0,3363.0
"Wyoming, Laramie","94,697",39505,14295.0,23904.0
"Wyoming, Lincoln","17,944",8618,1287.0,7144.0
"Wyoming, Natrona","78,565",32373,8961.0,22132.0
"Wyoming, Niobrara","2,478",1276,200.0,1022.0
"Wyoming, Park","28,808",14608,2927.0,11234.0
"Wyoming, Platte","8,729",4531,1223.0,3136.0
"Wyoming, Sheridan","29,524",14322,3618.0,10267.0
"Wyoming, Sublette","10,476",4376,767.0,3472.0
"Wyoming, Sweetwater","45,002",16895,4774.0,11428.0
"Wyoming, Teton","21,624",11464,6213.0,4858.0
"Wyoming, Uinta","20,996",8539,1628.0,6615.0
"Wyoming, Washakie","8,409",3944,794.0,3014.0
"Wyoming, Weston","7,077",3359,422.0,2821.0
