Location,total_votes,2012_democrat_votes,2012_republican_votes
"Alabama, Autauga",23932,6363.0,17379.0
"Alabama, Baldwin",85338,18424.0,66016.0
"Alabama, Barbour",11509,5912.0,5550.0
"Alabama, Bibb",8420,2202.0,6132.0
"Alabama, Blount",24006,2970.0,20757.0
"Alabama, Bullock",5322,4061.0,1251.0
"Alabama, Butler",9496,4374.0,5087.0
"Alabama, Calhoun",46257,15511.0,30278.0
"Alabama, Chambers",14611,6871.0,7626.0
"Alabama, Cherokee",9779,2132.0,7506.0
"Alabama, Chilton",17462,3397.0,13932.0
"Alabama, Choctaw",7968,3786.0,4152.0
"Alabama, Clarke",13851,6334.0,7470.0
"Alabama, Clay",6662,1777.0,4817.0
"Alabama, Cleburne",6305,971.0,5272.0
"Alabama, Coffee",19770,4925.0,14666.0
"Alabama, Colbert",23385,9166.0,13936.0
"Alabama, Conecuh",7022,3555.0,3439.0
"Alabama, Coosa",5269,2191.0,3049.0
"Alabama, Covington",15423,3158.0,12153.0
"Alabama, Crenshaw",6418,2050.0,4331.0
"Alabama, Cullman",34457,5052.0,28999.0
"Alabama, Dale",18557,5286.0,13108.0
"Alabama, Dallas",20953,14612.0,6288.0
"Alabama, DeKalb",23863,5239.0,18331.0
"Alabama, Elmore",35485,8954.0,26253.0
"Alabama, Escambia",14869,5489.0,9287.0
"Alabama, Etowah",42530,12803.0,29130.0
"Alabama, Fayette",7946,1817.0,6054.0
"Alabama, Franklin",10859,3171.0,7567.0
"Alabama, Geneva",11320,2039.0,9175.0
"Alabama, Greene",5340,4521.0,804.0
"Alabama, Hale",8643,5411.0,3210.0
"Alabama, Henry",8760,3083.0,5628.0
"Alabama, Houston",41918,12367.0,29270.0
"Alabama, Jackson",20577,5822.0,14439.0
"Alabama, Jefferson",303918,159876.0,141683.0
"Alabama, Lamar",7166,1646.0,5457.0
"Alabama, Lauderdale",36924,12511.0,23911.0
"Alabama, Lawrence",14112,5069.0,8874.0
"Alabama, Lee",54359,21381.0,32194.0
"Alabama, Limestone",35459,9829.0,25295.0
"Alabama, Lowndes",7521,5747.0,1756.0
"Alabama, Macon",10394,9045.0,1331.0
"Alabama, Madison",155059,62015.0,90884.0
"Alabama, Marengo",11537,6167.0,5336.0
"Alabama, Marion",12105,2249.0,9697.0
"Alabama, Marshall",32566,6299.0,25867.0
"Alabama, Mobile",174864,78760.0,94893.0
"Alabama, Monroe",10708,4914.0,5741.0
"Alabama, Montgomery",101924,63085.0,38332.0
"Alabama, Morgan",49323,13439.0,35391.0
